"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
217352,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","fish","VU",6,,,TRUE,TRUE,
217337,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus amblyrhynchos","fish","EN",49,,,TRUE,TRUE,
105792,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus leucas","fish","VU",1,,,TRUE,TRUE,
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","fish","VU",1,,,TRUE,FALSE,
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus","fish","VU",46,2013,,TRUE,TRUE,
217356,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion","Negaprion acutidens","fish","EN",25,2013,,TRUE,TRUE,
105805,"Chordata","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Pseudotriakis","Pseudotriakis microdon","fish",,2,1868,,TRUE,FALSE,
105816,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini","fish","CR",1,,,TRUE,FALSE,
214557,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon","Triaenodon obesus","fish","VU",2,,,TRUE,TRUE,
217426,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus narinari","fish","EN",1,,,TRUE,TRUE,
278243,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus ocellatus","fish","VU",1,,,TRUE,TRUE,
217427,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","Aetomylaeus vespertilio","fish","EN",4,,,TRUE,TRUE,
1018707,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia lata","fish","VU",1,,,TRUE,FALSE,
1026118,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula birostris","fish","EN",2,,,TRUE,TRUE,
217436,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula kuhlii","fish","EN",4,,,TRUE,TRUE,
1043416,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis fai","fish","VU",1,,,TRUE,TRUE,
1043418,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis jenkinsii","fish","VU",5,,,TRUE,TRUE,
712972,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniurops","Taeniurops meyeni","fish","VU",1,,,TRUE,TRUE,
220030,"Chordata","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Nebrius","Nebrius ferrugineus","fish","VU",12,,,TRUE,TRUE,
105899,"Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","Centrophorus granulosus","fish","EN",2,1801,,TRUE,TRUE,
217366,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Cirrhigaleus","Cirrhigaleus asper","fish",,2,1973,,TRUE,TRUE,
217379,"Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","Torpedo fuscomaculata","fish",,16,1967,,TRUE,TRUE,
219633,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus auranticavus","fish",,4,,,TRUE,TRUE,
219639,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus blochii","fish",,1,,,TRUE,TRUE,
219641,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus dussumieri","fish",,23,,,TRUE,TRUE,
219636,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus gahhm","fish",,1,1967,,TRUE,TRUE,
219629,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus","fish",,15,,,TRUE,TRUE,
219628,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucosternon","fish",,101,1964,,TRUE,TRUE,
159582,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus lineatus","fish",,11,,,TRUE,TRUE,
219651,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus mata","fish",,1,1964,,TRUE,FALSE,
219626,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricauda","fish",,39,,,TRUE,TRUE,
219640,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus","fish",,62,1967,,TRUE,TRUE,
219632,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus tennentii","fish",,37,,,TRUE,TRUE,
219646,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus thompsoni","fish",,33,,,TRUE,TRUE,
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus","fish",,18,1967,,TRUE,TRUE,
219634,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus","fish",,16,,,TRUE,TRUE,
211787,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Apolemichthys","Apolemichthys trimaculatus","fish",,42,1967,,TRUE,TRUE,
211775,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge acanthops","fish",,13,,,TRUE,TRUE,
278830,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge bispinosa","fish",,1,,,TRUE,TRUE,
211782,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge debelius","fish",,,,,FALSE,TRUE,
211774,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge multispinis","fish",,88,2008,,TRUE,TRUE,
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga","fish",,160,2008,,TRUE,TRUE,
218735,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon bennetti","fish",,37,,,TRUE,TRUE,
218744,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon citrinellus","fish",,9,,,TRUE,TRUE,
218726,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon falcula","fish",,47,,,TRUE,TRUE,
218722,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon guttatissimus","fish",,225,,,TRUE,TRUE,
273344,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon interruptus","fish",,46,1954,,TRUE,TRUE,
218738,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon kleinii","fish",,191,1967,,TRUE,TRUE,
218734,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lineolatus","fish",,20,1967,,TRUE,TRUE,
218733,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lunula","fish",,128,2008,,TRUE,TRUE,
218731,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon madagaskariensis","fish",,51,,,TRUE,TRUE,
218743,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon melannotus","fish",,46,,,TRUE,TRUE,
273347,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon mertensii","fish",,22,,,TRUE,TRUE,
218752,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon meyeri","fish",,168,1954,,TRUE,TRUE,
218723,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon mitratus","fish",,1,,,TRUE,TRUE,
218725,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon oxycephalus","fish",,,,,FALSE,TRUE,
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis","fish","NT",20,1967,,TRUE,TRUE,
218741,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifasciatus","fish",,138,1967,,TRUE,TRUE,
218753,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon unimaculatus","fish",,1,,,TRUE,FALSE,
218754,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon vagabundus","fish",,8,1967,,TRUE,TRUE,
218721,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon xanthocephalus","fish",,62,1967,,TRUE,TRUE,
273368,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon zanzibarensis","fish",,7,,,TRUE,TRUE,
219655,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus","fish",,54,,,TRUE,TRUE,
219659,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus striatus","fish",,85,1967,,TRUE,TRUE,
219658,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus strigosus","fish",,12,,,TRUE,TRUE,
277563,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus truncatus","fish",,94,1954,,TRUE,TRUE,
218760,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger flavissimus","fish",,147,,,TRUE,TRUE,
218759,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger longirostris","fish",,1,,,TRUE,TRUE,
218762,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Hemitaurichthys","Hemitaurichthys zoster","fish",,60,1954,,TRUE,TRUE,
218765,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus acuminatus","fish",,27,,,TRUE,TRUE,
218763,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus diphreutes","fish",,2,,,TRUE,TRUE,
218764,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus monoceros","fish",,39,,,TRUE,TRUE,
219673,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso annulatus","fish",,8,,,TRUE,TRUE,
219664,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brachycentron","fish",,11,,,TRUE,TRUE,
219671,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brevirostris","fish",,40,,,TRUE,TRUE,
278005,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso elegans","fish",,46,,,TRUE,TRUE,
219667,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso hexacanthus","fish",,6,,,TRUE,TRUE,
219665,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso lituratus","fish",,3,1967,,TRUE,TRUE,
278008,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso mcdadei","fish",,1,,,TRUE,FALSE,
219670,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso thynnoides","fish",,1,,,TRUE,TRUE,
219675,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso tuberosus","fish",,1,,,TRUE,TRUE,
219668,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso unicornis","fish",,23,1967,,TRUE,TRUE,
219672,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso vlamingii","fish",,7,,,TRUE,TRUE,
219676,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Paracanthurus","Paracanthurus hepatus","fish",,8,1967,,TRUE,TRUE,
218711,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax orbicularis","fish",,26,1967,,TRUE,TRUE,
218710,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax teira","fish",,5,,,TRUE,TRUE,
220004,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus annularis","fish",,,,,FALSE,TRUE,
220006,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus chrysurus","fish",,4,1967,,TRUE,TRUE,
220001,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus imperator","fish",,63,1967,,TRUE,TRUE,
220003,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus semicirculatus","fish",,7,,,TRUE,TRUE,
211773,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pygoplites","Pygoplites diacanthus","fish",,19,,,TRUE,TRUE,
219686,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus argenteus","fish",,6,1967,,TRUE,TRUE,
219687,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus canaliculatus","fish",,3,,,TRUE,TRUE,
219690,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus corallinus","fish",,2,,,TRUE,TRUE,
127044,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus luridus","fish",,2,,,TRUE,TRUE,
219692,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus stellatus","fish",,24,2008,,TRUE,TRUE,
219688,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus sutor","fish",,2,,,TRUE,TRUE,
220083,"Chordata","Teleostei","Acanthuriformes","Zanclidae","Zanclus","Zanclus cornutus","fish",,154,1967,,TRUE,TRUE,
277555,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma desjardinii","fish",,33,,,TRUE,TRUE,
219679,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma scopas","fish",,35,1967,,TRUE,TRUE,
712902,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma velifer","fish",,3,1967,,TRUE,TRUE,
219164,"Chordata","Teleostei","Acropomatiformes","Creediidae","Limnichthys","Limnichthys nitidus","fish",,3,1964,,TRUE,TRUE,
218700,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris oualensis","fish",,2,,,TRUE,TRUE,
1007132,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris tominagai","fish",,1,,,TRUE,TRUE,
218701,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris vanicolensis","fish",,1,,,TRUE,TRUE,
212256,"Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula vulpes","fish","NT",2,2013,,TRUE,TRUE,
217465,"Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias seychellensis","fish",,3,1967,,TRUE,TRUE,
217541,"Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma scheelei","fish",,2,,,TRUE,TRUE,
217560,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Brachysomophis","Brachysomophis crocodilinus","fish",,2,,,TRUE,TRUE,
217563,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Callechelys","Callechelys catostoma","fish",,8,1967,,TRUE,TRUE,
217565,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Callechelys","Callechelys marmorata","fish",,3,1967,,TRUE,TRUE,
280151,"Chordata","Teleostei","Anguilliformes","Chlopsidae","Chilorhinus","Chilorhinus platyrhynchus","fish",,2,1967,,TRUE,TRUE,
217566,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Cirrhimuraena","Cirrhimuraena playfairii","fish",,2,1954,,TRUE,TRUE,
217545,"Chordata","Teleostei","Anguilliformes","Congridae","Conger","Conger cinereus","fish",,14,1967,,TRUE,TRUE,
271936,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Echelus","Echelus uropterus","fish",,2,,,TRUE,TRUE,
217470,"Chordata","Teleostei","Anguilliformes","Muraenidae","Echidna","Echidna leucotaenia","fish",,2,,,TRUE,TRUE,
217469,"Chordata","Teleostei","Anguilliformes","Muraenidae","Echidna","Echidna nebulosa","fish",,10,1967,,TRUE,TRUE,
217467,"Chordata","Teleostei","Anguilliformes","Muraenidae","Echidna","Echidna polyzona","fish",,6,1967,,TRUE,TRUE,
217473,"Chordata","Teleostei","Anguilliformes","Muraenidae","Enchelycore","Enchelycore bayeri","fish",,2,1967,,TRUE,TRUE,
217472,"Chordata","Teleostei","Anguilliformes","Muraenidae","Enchelycore","Enchelycore pardalis","fish",,3,1967,,TRUE,TRUE,
