"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",,86793,94,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
370512,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia cuspidata",,140,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149123,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis",,160,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149271,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii",,39,1,,"12S",FALSE,FALSE,TRUE,,,,"algae"
156632,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus wailesii",,83,3,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",,45622,16,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
163243,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia striata",,10622,11,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
149131,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia zodiacus",,30,1,,"12S",FALSE,FALSE,TRUE,,,,"algae"
163250,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus sinensis",,2226,13,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
149322,"Bacillariophyta","Bacillariophyceae","Lithodesmiales","Lithodesmiaceae","Lithodesmium","Lithodesmium undulatum",,99,2,,"12S",FALSE,FALSE,TRUE,,,,"algae"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",,89556,179,,"12S",FALSE,FALSE,TRUE,,,,"algae"
149643,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula ramosissima",,24,1,,"12S",FALSE,FALSE,TRUE,,,,"algae"
156586,"Bacillariophyta","Bacillariophyceae","Naviculales","Pleurosigmataceae","Pleurosigma","Pleurosigma strigosum",,9,3,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
1590706,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Sundstroemia","Sundstroemia setigera",,24733,8,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
376361,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema menzelii",,3668,6,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
375916,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema pseudocostatum",,131,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
577742,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira profunda",,629,6,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
148942,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira rotula",,56,3,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",,3227,21,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345459,"Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos",,4326,4,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",,63376,23,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
526636,"Chlorophyta","Ulvophyceae","Oltmannsiellopsidales","Oltmannsiellopsidaceae","Oltmannsiellopsis","Oltmannsiellopsis viridis",,5,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
236056,"Haptophyta","Coccolithophyceae","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa huxleyi",,32520,4,,"COI",FALSE,FALSE,TRUE,,,,"algae"
235955,"Haptophyta","Coccolithophyceae","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa oceanica",,187,4,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
375970,"Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Octactis","Octactis octonaria",,365,5,,"COI",FALSE,FALSE,TRUE,,,,"algae"
707927,"Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Vicicitus","Vicicitus globosus",,89160,5,,"COI",FALSE,FALSE,TRUE,,,,"algae"
531467,"Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales incertae sedis","Pseudochattonella","Pseudochattonella farcimen",,356,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
248149,"Ochrophyta","Dictyochophyceae","Pedinellales","Actinomonadaceae","Pseudopedinella","Pseudopedinella elastica",,10,1,,"12S",FALSE,FALSE,TRUE,,,,"algae"
375699,"Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Aureococcus","Aureococcus anophagefferens",,37,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345504,"Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas calceolata",,5,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
377141,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Canistrocarpus","Canistrocarpus cervicornis",9,54,1,2020,"COI",TRUE,TRUE,TRUE,,,,"algae"
246590,"Ochrophyta","Raphidophyceae","Chattonellales","Chattonellaceae","Chattonella","Chattonella subsalsa",,4082,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
233761,"Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Fibrocapsa","Fibrocapsa japonica",,10,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
160585,"Ochrophyta","Raphidophyceae","Chattonellales","Chattonellaceae","Heterosigma","Heterosigma akashiwo",,21,1,,"16S",FALSE,FALSE,TRUE,,,,"algae"
145097,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Amphiroa","Amphiroa beauvoisii",12,3,1,2020,"COI",TRUE,TRUE,TRUE,,,,"algae"
145630,"Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Hypnea","Hypnea cornuta",,66,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
148791,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos",,16,1,,"12S",FALSE,FALSE,TRUE,"LC","LC","mallard, canard colvert","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",1,94,2,2003,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
159047,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina",8,5,1,2013,"16S",TRUE,TRUE,TRUE,"LC","LC","dunlin, bécasseau variable","birds"
147433,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",1,2084,5,2004,"12S;COI",TRUE,TRUE,TRUE,"NT","NT","red knot, bécasseau maubèche","birds"
212600,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",,7,1,,"COI",FALSE,TRUE,TRUE,"LC","LC","little stint, bécasseau minute","birds"
159126,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius semipalmatus",,91,1,,"12S",FALSE,FALSE,TRUE,"LC","LC","semipalmated plover,   pluvier semipalmé","birds"
147436,"Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus ostralegus",1,449,6,2011,"12S;16S;COI",TRUE,TRUE,TRUE,"NT","NT","Eurasian oyster catcher, huîtrier pie","birds"
567825,"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",,415,2,,"12S",FALSE,TRUE,TRUE,"LC","LC","Caspian tern","birds"
159034,"Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",,1114,6,,"12S;16S",FALSE,TRUE,TRUE,"NT","NT","bar-tailed godwit, barge rousse","birds"
159137,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola",,127,1,,"12S",FALSE,TRUE,TRUE,"LC","LC","grey plover, pluvier argenté","birds"
158970,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa totanus",,50,1,,"12S",FALSE,TRUE,TRUE,"LC","LC","redshank, chevalier gambette","birds"
212668,"Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Ardea cinerea",,807,5,,"12S;16S;COI",FALSE,FALSE,TRUE,"LC","LC",,"birds"
159115,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta garzetta",,1077,4,,"12S;16S",FALSE,TRUE,TRUE,"LC","LC","little egret, aigrette garzette","birds"
416678,"Chordata","Aves","Ciconiiformes","Threskiornithidae","Platalea","Platalea leucorodia",,903,7,,"12S;16S",FALSE,TRUE,TRUE,"LC","LC","Eurasian spoonbill, spatule blanche","birds"
212750,"Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",,45,1,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
212708,"Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus ruber",,26,2,,"12S",FALSE,TRUE,TRUE,"LC","LC","greater flamingo, flamant des Caraïbes","birds"
117425,"Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Cladonema","Cladonema radiatum",,88,1,,"COI",FALSE,FALSE,TRUE,,,"aquarium medusa","cnidarians"
117544,"Cnidaria","Hydrozoa","Anthoathecata","Eudendriidae","Eudendrium","Eudendrium capillare",,11,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117283,"Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia pluma",1,100,1,1964,"COI",TRUE,TRUE,TRUE,,,"podded hydroid","cnidarians"
117364,"Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Campanularia","Campanularia hincksii",,3352,2,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
