"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",FALSE,,20806,232,,"COI",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",FALSE,,62,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",FALSE,,24173,190,,"12S",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",FALSE,,2431,12,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345459,"Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos",FALSE,,11,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
134563,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Mantoniella","Mantoniella squamata",FALSE,,120,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1361174,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas commoda",FALSE,,1477,4,,"12S",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",FALSE,,255225,26,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
376073,"Chlorophyta","Pyramimonadophyceae","Pseudoscourfieldiales","Pycnococcaceae","Pycnococcus","Pycnococcus provasolii",FALSE,,9,1,,"16S",FALSE,FALSE,TRUE,,,,"algae"
526636,"Chlorophyta","Ulvophyceae","Oltmannsiellopsidales","Oltmannsiellopsidaceae","Oltmannsiellopsis","Oltmannsiellopsis viridis",FALSE,,18,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1361155,"Chlorophyta",,,,"Chloropicon","Chloropicon laureae",FALSE,,128,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1361153,"Chlorophyta",,,,"Chloropicon","Chloropicon roscoffensis",FALSE,,18,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1541871,"Chlorophyta",,,,"Chloropicon","Chloropicon sieburthii",FALSE,,393,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
236056,"Haptophyta","Coccolithophyceae","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa huxleyi",FALSE,,72181,16,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
160538,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa",FALSE,,31,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1358375,"Haptophyta","Coccolithophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina tobinii",FALSE,,65,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1359032,"Ochrophyta","Chrysoparadoxophyceae","Chrysoparadoxales","Chrysoparadoxaceae","Chrysoparadoxa","Chrysoparadoxa australica",FALSE,,40,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
375970,"Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Octactis","Octactis octonaria",FALSE,,1529,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
375699,"Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Aureococcus","Aureococcus anophagefferens",FALSE,,32,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345504,"Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas calceolata",FALSE,,4123,3,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
377141,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Canistrocarpus","Canistrocarpus cervicornis",FALSE,,373,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
145363,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota bartayresiana",FALSE,,184,3,,"COI",FALSE,TRUE,TRUE,,,,"algae"
220786,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota ceylanica",FALSE,,3358,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
220782,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota friabilis",FALSE,,227,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
145370,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota humifusa",FALSE,,145,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
1369837,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota mayae",FALSE,,70,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
145378,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota pinnatifida",FALSE,,50,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
1369767,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Lobophora","Lobophora littlerorum",FALSE,,228,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
371901,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Cladosiphon","Cladosiphon okamuranus",FALSE,,347,3,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
145857,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia sinuosa",FALSE,,17,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
373209,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Turbinaria","Turbinaria tricostata",FALSE,,83,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
376356,"Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidaceae","Pinguiococcus","Pinguiococcus pyrenoidosus",FALSE,,33,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
233761,"Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Fibrocapsa","Fibrocapsa japonica",FALSE,,21,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
144439,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Asparagopsis","Asparagopsis taxiformis",FALSE,,77,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
211768,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Acanthophora","Acanthophora spicifera",FALSE,,8,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
494962,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Centroceras","Centroceras hyalacanthum",FALSE,,165,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
157315,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Chondria","Chondria baileyana",FALSE,,139,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
374974,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Dasya","Dasya collinsiana",FALSE,,9,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
373093,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Dasya","Dasya spinuligera",FALSE,,24,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1306263,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Digenea","Digenea arenahauriens",FALSE,,604,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
373128,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Herposiphonia","Herposiphonia pecten-veneris",FALSE,,145,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
214222,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Herposiphonia","Herposiphonia secunda",FALSE,,47,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
373131,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Laurencia","Laurencia catarinensis",FALSE,,1073,4,,"COI",FALSE,TRUE,TRUE,,,,"algae"
144827,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Laurencia","Laurencia obtusa",FALSE,,1244,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1359482,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Melanothamnus","Melanothamnus ferulaceus",FALSE,,13,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
495580,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Palisada","Palisada perforata",FALSE,,781,4,,"COI",FALSE,TRUE,TRUE,,,,"algae"
372140,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Amphiroa","Amphiroa valonioides",FALSE,,115,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1041645,"Rhodophyta","Florideophyceae","Corallinales","Porolithaceae","Harveylithon","Harveylithon munitum",FALSE,,71,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
157328,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Lithophyllum","Lithophyllum corallinae",FALSE,,127,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
372900,"Rhodophyta","Florideophyceae","Corallinales","Spongitidaceae","Neogoniolithon","Neogoniolithon rhizophorae",FALSE,,1147,5,,"COI",FALSE,FALSE,TRUE,,,,"algae"
371297,"Rhodophyta","Florideophyceae","Corallinales","Spongitidaceae","Neogoniolithon","Neogoniolithon spectabile",FALSE,,39,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
840020,"Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Meredithia","Meredithia crenata",FALSE,,3,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
145739,"Rhodophyta","Florideophyceae","Nemaliales","Galaxauraceae","Galaxaura","Galaxaura rugosa",FALSE,,441,4,,"COI",FALSE,TRUE,TRUE,,,,"algae"
145749,"Rhodophyta","Florideophyceae","Nemaliales","Liagoraceae","Ganonema","Ganonema farinosum",FALSE,,97,3,,"COI",FALSE,TRUE,TRUE,,,,"algae"
1369788,"Rhodophyta","Florideophyceae","Nemaliales","Liagoraceae","Liagora","Liagora nesophila",FALSE,,116,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
526681,"Rhodophyta","Florideophyceae","Nemaliales","Liagoraceae","Titanophycus","Titanophycus validus",FALSE,,2,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
623634,"Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Ramicrusta","Ramicrusta textilis",FALSE,,4903,4,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1327613,"Rhodophyta","Florideophyceae","Rhodymeniales","Champiaceae","Champia","Champia hasselbringii",FALSE,,258,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
145846,"Rhodophyta","Florideophyceae","Rhodymeniales","Champiaceae","Coelothrix","Coelothrix irregularis",FALSE,,50,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
