"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_dna"
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus","fish",,1,1953,,TRUE,
217479,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax buroensis","fish",,2,1933,,TRUE,
217884,"Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina barnesi","fish",,4,1965,,TRUE,
217670,"Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus variegatus","fish",,2,1933,,TRUE,
158884,"Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops","fish",,2,1933,,TRUE,
278734,"Chordata","Teleostei","Beloniformes","Exocoetidae","Cypselurus","Cypselurus opisthopus","fish",,2,1933,,TRUE,
219242,"Chordata","Teleostei","Blenniiformes","Blenniidae","Aspidontus","Aspidontus taeniatus","fish",,2,1933,,TRUE,
219250,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella cyanostigma","fish",,1,1953,,TRUE,
219249,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella periophthalmus","fish",,1,1953,,TRUE,
277319,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius minutus","fish",,1,1953,,TRUE,
219294,"Chordata","Teleostei","Blenniiformes","Blenniidae","Istiblennius","Istiblennius edentulus","fish",,1,1953,,TRUE,
282328,"Chordata","Teleostei","Blenniiformes","Blenniidae","Praealticus","Praealticus bilineatus","fish",,2,1933,,TRUE,
219344,"Chordata","Teleostei","Blenniiformes","Blenniidae","Xiphasia","Xiphasia matsubarai","fish",,2,1965,,TRUE,
218419,"Chordata","Teleostei","Carangiformes","Carangidae","Caranx","Caranx melampygus","fish",,2,1933,,TRUE,
