"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",,7105,30,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149271,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii",,157,2,,"12S",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",,126,4,,"COI",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",2,30,2,,"COI",TRUE,FALSE,TRUE,,,,"algae"
1359032,"Ochrophyta","Chrysoparadoxophyceae","Chrysoparadoxales","Chrysoparadoxaceae","Chrysoparadoxa","Chrysoparadoxa australica",,3,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
248149,"Ochrophyta","Dictyochophyceae","Pedinellales","Actinomonadaceae","Pseudopedinella","Pseudopedinella elastica",,10,1,,"12S",FALSE,FALSE,TRUE,,,,"algae"
1346674,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Acanthosiphonia","Acanthosiphonia echinata",,3148,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1380455,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Digenea","Digenea mexicana",,36,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
212668,"Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Ardea cinerea",,6,1,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
159072,"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius",,120,2,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
1525634,"Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo",,1183,4,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
158230,"Cnidaria","Hexacorallia","Actiniaria","Diadumenidae","Diadumene","Diadumene leucolena",,4563,3,,"16S;COI",FALSE,FALSE,TRUE,,,"white anemone","cnidarians"
1264073,"Cnidaria","Hexacorallia","Actiniaria","Aiptasiidae","Exaiptasia","Exaiptasia diaphana",,14586,8,,"16S;COI",FALSE,TRUE,TRUE,,,,"cnidarians"
743536,"Cnidaria","Hexacorallia","Zoantharia","Nanozoanthidae","Nanozoanthus","Nanozoanthus harenaceus",,38,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
288110,"Cnidaria","Hydrozoa","Anthoathecata","Zancleopsidae","Zancleopsis","Zancleopsis dichotoma",,31,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117368,"Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia hemisphaerica",,149,4,,"12S;COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117673,"Cnidaria","Hydrozoa","Leptothecata","Kirchenpaueriidae","Kirchenpaueria","Kirchenpaueria halecioides",,21823,18,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117385,"Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia bidentata",,47,2,,"COI",FALSE,FALSE,TRUE,,,"doubletoothed hydroid","cnidarians"
106403,"Ctenophora","Tentaculata","Platyctenida","Coeloplanidae","Vallicula","Vallicula multiformis",,35,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
