"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",,,"12S",FALSE,FALSE,TRUE,,,,"algae"
422571,"Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina moschata",,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
126303,"Chordata","Teleostei","Anguilliformes","Muraenidae","Muraena","Muraena helena",4,2012,"16S",TRUE,TRUE,TRUE,"LC","LC","Mediterranean moray, murène commune","fish"
272028,"Chordata","Teleostei","Atheriniformes","Atherinidae","Atherina","Atherina hepsetus",2,,"12S;16S",TRUE,FALSE,TRUE,,,"Mediterranean sand smelt, siouclet","fish"
126375,"Chordata","Teleostei","Beloniformes","Belonidae","Belone","Belone belone",2,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","sea needle, aiquille","fish"
126760,"Chordata","Teleostei","Blenniiformes","Blenniidae","Aidablennius","Aidablennius sphynx",2,,"16S",TRUE,TRUE,TRUE,"LC","LC","sphynx blenny, blennie sphinx","fish"
302165,"Chordata","Teleostei","Blenniiformes","Blenniidae","Lipophrys","Lipophrys trigloides",2,,"16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
126771,"Chordata","Teleostei","Blenniiformes","Blenniidae","Parablennius","Parablennius incognitus",2,,"16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
126778,"Chordata","Teleostei","Blenniiformes","Blenniidae","Parablennius","Parablennius zvonimiri",2,,"16S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
127090,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Tripterygion","Tripterygion delaisi",2,,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","black-faced blenny, tripterygion","fish"
712817,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Tripterygion","Tripterygion tripteronotum",3,,"16S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
280725,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Ethmalosa","Ethmalosa fimbriata",,,"12S",FALSE,FALSE,TRUE,"LC","LC","Bonga shad","fish"
127047,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Boops","Boops boops",4,1999,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","bogue, bogue","fish"
126963,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris julis",4,1999,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","rainbow wrasse, girelle","fish"
273962,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex","Dentex dentex",3,,"12S;16S",TRUE,TRUE,TRUE,"VU","VU","dentex, denté commun","fish"
126975,"Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus labrax",2,,"16S",TRUE,TRUE,TRUE,"LC","LC","seabass, bar","fish"
127049,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus annularis",3,,"16S",TRUE,TRUE,TRUE,"LC","LC","annular sea bream, sparaillon","fish"
998229,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus kotschyi",,,"12S",FALSE,FALSE,TRUE,,,,"fish"
127053,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus sargus",5,1999,"12S",TRUE,TRUE,TRUE,"LC","LC","white seabream, sar commun du Maroc","fish"
127054,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus vulgaris",4,1999,"16S",TRUE,TRUE,TRUE,"LC","LC","two banded sea bream, sar à tête noire","fish"
126965,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus bergylta",,,"16S",FALSE,FALSE,TRUE,"LC","LC","wrasse, labre","fish"
1577363,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Oblada","Oblada melanurus",3,,"16S",TRUE,TRUE,TRUE,,,,"fish"
127063,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagrus","Pagrus pagrus",2,,"16S",TRUE,TRUE,TRUE,"LC","LC","red porgy, pagre commun","fish"
127064,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Sarpa","Sarpa salpa",3,,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","Saunders's tern  , saupe","fish"
127010,"Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Sciaena","Sciaena umbra",3,,"16S",TRUE,TRUE,TRUE,"NT","NT","brown meagre, maigre","fish"
126828,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spicara","Spicara maena",3,,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","picarel, mendole commune","fish"
126830,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spicara","Spicara smaris",2,,"16S",TRUE,TRUE,TRUE,"LC","LC","picarel, picarel","fish"
273572,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus ocellatus",4,1999,"12S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
273573,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus roissali",3,,"16S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
273574,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus rostratus",3,,"16S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
273575,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus tinca",3,,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","East Atlantic peacock wrasse","fish"
126970,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Thalassoma","Thalassoma pavo",3,,"16S",TRUE,TRUE,TRUE,"LC","LC",,"fish"
126888,"Chordata","Teleostei","Gobiiformes","Gobiidae","Gobius","Gobius cruentatus",1,,"16S",TRUE,TRUE,TRUE,"LC","LC","red-mouthed goby","fish"
126893,"Chordata","Teleostei","Gobiiformes","Gobiidae","Gobius","Gobius paganellus",2,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","rock goby, gobie paganel","fish"
126977,"Chordata","Teleostei","Mugiliformes","Mugilidae","Chelon","Chelon labrosus",1,,"12S",TRUE,TRUE,TRUE,"LC","LC","thick-lipped grey mullet, muge lippu","fish"
126984,"Chordata","Teleostei","Mugiliformes","Mugilidae","Oedalechilus","Oedalechilus labeo",3,1999,"12S;16S",TRUE,FALSE,TRUE,,,"boxlip mullet, ange-sabon","fish"
126986,"Chordata","Teleostei","Mulliformes","Mullidae","Mullus","Mullus surmuletus",3,,"16S",TRUE,TRUE,TRUE,"LC","LC","striped red mullet, rouget-barbet de roche","fish"
126602,"Chordata","Teleostei","Myctophiformes","Myctophidae","Hygophum","Hygophum benoiti",,,"16S",FALSE,FALSE,TRUE,"LC","LC","Benoit's lanternfish","fish"
127000,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chromis","Chromis chromis",4,1999,"16S",TRUE,TRUE,TRUE,"LC","LC","damselfish","fish"
127247,"Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena","Scorpaena porcus",4,1999,"12S",TRUE,TRUE,TRUE,"LC","LC","black scorpion-fish, rascasse brune","fish"
127043,"Chordata","Teleostei","Perciformes","Serranidae","Serranus","Serranus scriba",4,1999,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","painted comber, serran écriture","fish"
137111,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus",11,2016,"16S",TRUE,TRUE,TRUE,"LC","LC","bottlenose dolphin, grand dauphin","mammals"
139052,"Mollusca","Gastropoda","[unassigned] Caenogastropoda","Cerithiidae","Bittium","Bittium latreillii",,,"16S",FALSE,TRUE,TRUE,,,,"molluscs"
123878,"Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten spinulosus",,,"16S",FALSE,FALSE,TRUE,,,,"starfish"
124249,"Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","Arbacia lixula",,,"16S",FALSE,TRUE,TRUE,,,"Black Sea urchin, oursin mâle","starfish"
124316,"Echinodermata","Echinoidea","Camarodonta","Parechinidae","Paracentrotus","Paracentrotus lividus",,,"16S",FALSE,TRUE,TRUE,,,"stony sea urchin, oursin-pierre","starfish"
