"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_dna"
217364,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon","Scoliodon laticaudus","fish","NT",1,,,TRUE,
1042846,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon bennettii","fish",,2,2016,,TRUE,
1013687,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Telatrygon","Telatrygon zugei","fish","NT",1,,,TRUE,
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga","fish",,1,2002,,TRUE,
273328,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon baronessa","fish",,1,2002,,TRUE,
218734,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lineolatus","fish",,1,2015,,TRUE,
218746,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon octofasciatus","fish",,3,2014,,TRUE,
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis","fish","NT",1,2002,,TRUE,
273366,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon wiebeli","fish",,4,2015,,TRUE,
218758,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chelmon","Chelmon rostratus","fish",,4,2016,,TRUE,
1524092,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Deveximentum","Deveximentum megalolepis","fish",,9,2016,,TRUE,
218759,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger longirostris","fish",,1,2002,,TRUE,
218462,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Leiognathus","Leiognathus berbis","fish",,2,2016,,TRUE,
398531,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula gerreoides","fish",,3,2016,,TRUE,
398533,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula longicornis","fish",,2,2016,,TRUE,
398535,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula nuchalis","fish",,7,2016,,TRUE,
218711,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax orbicularis","fish",,2,2015,,TRUE,
276970,"Chordata","Teleostei","Acanthuriformes","Scatophagidae","Scatophagus","Scatophagus argus","fish",,2,2015,,TRUE,
219686,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus argenteus","fish",,1,2002,,TRUE,
219687,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus canaliculatus","fish",,1,2002,,TRUE,
273912,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus fuscescens","fish",,12,2016,,TRUE,
273913,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus guttatus","fish",,1,2016,,TRUE,
220048,"Chordata","Teleostei","Acropomatiformes","Acropomatidae","Acropoma","Acropoma japonicum","fish",,1,,,TRUE,
277063,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris nyctereutes","fish",,1,,,TRUE,
271853,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax minor","fish",,1,2016,,TRUE,
271881,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax reevesii","fish",,3,2016,,TRUE,
217508,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax undulatus","fish",,1,2002,,TRUE,
126296,"Chordata","Teleostei","Anguilliformes","Muraenesocidae","Muraenesox","Muraenesox cinereus","fish",,3,2016,,TRUE,
217594,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Pisodonophis","Pisodonophis cancrivorus","fish",,2,2016,,TRUE,
217556,"Chordata","Teleostei","Anguilliformes","Congridae","Uroconger","Uroconger lepturus","fish",,10,2016,,TRUE,
742164,"Chordata","Teleostei","Atheriniformes","Atherinidae","Atherinomorus","Atherinomorus pinguis","fish",,14,2016,,TRUE,
217883,"Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina temminckii","fish",,1,2002,,TRUE,
277726,"Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina valenciennei","fish",,18,2016,,TRUE,
217661,"Chordata","Teleostei","Aulopiformes","Synodontidae","Harpadon","Harpadon nehereus","fish","NT",2,2015,,TRUE,
272108,"Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida argentea","fish",,24,2016,,TRUE,
217663,"Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida tumbil","fish",,7,2016,,TRUE,
