"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
101172,"Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra fluviatilis","fish",,,,,FALSE,TRUE,
126281,"Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","fish","CR",,,,FALSE,TRUE,
126417,"Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","fish",,11,2009,,TRUE,TRUE,
126425,"Chordata","Teleostei","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","fish",,,,,FALSE,TRUE,
154281,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Abramis","Abramis brama","fish",,,,,FALSE,TRUE,
154285,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Alburnus","Alburnus alburnus","fish",,,,,FALSE,TRUE,
154297,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius carassius","fish",,,,,FALSE,TRUE,
154324,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Leuciscus","Leuciscus idus","fish",,,,,FALSE,TRUE,
282185,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Pelecus","Pelecus cultratus","fish",,1,,,TRUE,FALSE,
154326,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus","Phoxinus phoxinus","fish",,2,2008,,TRUE,TRUE,
154333,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Rutilus","Rutilus rutilus","fish",,,,,FALSE,TRUE,
154165,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Scardinius","Scardinius erythrophthalmus","fish",,,,,FALSE,TRUE,
154210,"Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox lucius","fish",,1,2009,,TRUE,TRUE,
126436,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","fish","VU",1,,,TRUE,FALSE,
154388,"Chordata","Teleostei","Gadiformes","Lotidae","Lota","Lota lota","fish",,,,,FALSE,TRUE,
277418,"Chordata","Teleostei","Gobiiformes","Gobiidae","Awaous","Awaous commersoni","fish","VU",,,,FALSE,TRUE,
126892,"Chordata","Teleostei","Gobiiformes","Gobiidae","Gobius","Gobius niger","fish",,5,2009,,TRUE,TRUE,
1526389,"Chordata","Teleostei","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus flavescens","fish",,1,2007,,TRUE,TRUE,
126928,"Chordata","Teleostei","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","fish",,155,2014,,TRUE,TRUE,
126736,"Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus eperlanus","fish",,,,,FALSE,TRUE,
126752,"Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus","fish",,,,,FALSE,TRUE,
127196,"Chordata","Teleostei","Perciformes","Cottidae","Cottus","Cottus gobio","fish",,,,,FALSE,TRUE,
127197,"Chordata","Teleostei","Perciformes","Cottidae","Cottus","Cottus poecilopus","fish",,,,,FALSE,TRUE,
126505,"Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","fish",,165,2020,,TRUE,TRUE,
405451,"Chordata","Teleostei","Perciformes","Percidae","Gymnocephalus","Gymnocephalus cernua","fish",,,,,FALSE,TRUE,
127219,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis liparis","fish",,,,,FALSE,TRUE,
154675,"Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","fish",,1,1891,,TRUE,FALSE,
254529,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus quadricornis","fish",,1,,,TRUE,TRUE,
127203,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","fish",,1,2014,,TRUE,TRUE,
151353,"Chordata","Teleostei","Perciformes","Percidae","Perca","Perca fluviatilis","fish",,8,2013,,TRUE,TRUE,
126996,"Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","fish",,1,2007,,TRUE,TRUE,
126507,"Chordata","Teleostei","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","fish",,9,2020,,TRUE,TRUE,
151308,"Chordata","Teleostei","Perciformes","Percidae","Sander","Sander lucioperca","fish",,,,,FALSE,TRUE,
127204,"Chordata","Teleostei","Perciformes","Cottidae","Taurulus","Taurulus bubalis","fish",,,,,FALSE,TRUE,
127123,"Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","fish",,42,2021,,TRUE,TRUE,
127141,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","fish",,,,,FALSE,TRUE,
127178,"Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus albula","fish",,,,,FALSE,TRUE,
127180,"Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus lavaretus","fish","VU",,,,FALSE,TRUE,
712453,"Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus maraena","fish","VU",,,,FALSE,TRUE,
127185,"Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","fish",,,,,FALSE,TRUE,
127186,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","fish",,,,,FALSE,TRUE,
127187,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta","fish",,,,,FALSE,TRUE,
127188,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus","fish",,,,,FALSE,TRUE,
154241,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","fish",,,,,FALSE,TRUE,
154375,"Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","Thymallus thymallus","fish",,,,,FALSE,TRUE,
127385,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Nerophis","Nerophis ophidion","fish",,12,2015,,TRUE,TRUE,
127393,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus typhle","fish",,1,2013,,TRUE,TRUE,
137080,"Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","mammal",,100,2020,,TRUE,TRUE,
137076,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra","Lutra lutra","mammal","NT",,,,FALSE,TRUE,
159021,"Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa hispida","mammal",,7,2018,,TRUE,TRUE,
255029,"Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa hispida","mammal",,1,2019,,TRUE,FALSE,
137092,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae","mammal",,,,,FALSE,TRUE,
