"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
105812,"Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus","Galeus melastomus","fish",,3,2009,,TRUE,FALSE,
105814,"Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus canicula","fish",,,,,FALSE,TRUE,
105858,"Chordata","Elasmobranchii","Myliobatiformes","Mobulidae","Mobula","Mobula mobular","fish","EN",,,,FALSE,TRUE,
158540,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pteroplatytrygon","Pteroplatytrygon violacea","fish",,2,2018,,TRUE,TRUE,
105907,"Chordata","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus","Centroscymnus coelolepis","fish","NT",2,2009,,TRUE,FALSE,
105913,"Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus spinax","fish","VU",1,2009,,TRUE,FALSE,
105924,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus blainville","fish",,,,,FALSE,TRUE,
105928,"Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","Squatina squatina","fish","CR",,,,FALSE,TRUE,
126684,"Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus rostratus","fish",,3,2009,,TRUE,FALSE,
126303,"Chordata","Teleostei","Anguilliformes","Muraenidae","Muraena","Muraena helena","fish",,1,2013,,TRUE,FALSE,
299709,"Chordata","Teleostei","Anguilliformes","Nettastomatidae","Nettastoma","Nettastoma melanura","fish",,4,2009,,TRUE,FALSE,
126352,"Chordata","Teleostei","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso","fish",,2,2009,,TRUE,FALSE,
299942,"Chordata","Teleostei","Aulopiformes","Ipnopidae","Bathypterois","Bathypterois mediterraneus","fish",,7,2009,,TRUE,FALSE,
126338,"Chordata","Teleostei","Aulopiformes","Evermannellidae","Evermannella","Evermannella balbo","fish",,1,,,TRUE,FALSE,
126355,"Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops","Lestidiops sphyrenoides","fish",,3,,,TRUE,FALSE,
126361,"Chordata","Teleostei","Aulopiformes","Paralepididae","Paralepis","Paralepis coregonoides","fish",,1,,,TRUE,FALSE,
126761,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blennius","Blennius ocellaris","fish",,,,,FALSE,TRUE,
126776,"Chordata","Teleostei","Blenniiformes","Blenniidae","Parablennius","Parablennius sanguinolentus","fish",,,,,FALSE,TRUE,
126794,"Chordata","Teleostei","Callionymiformes","Callionymidae","Callionymus","Callionymus pusillus","fish",,,,,FALSE,TRUE,
126821,"Chordata","Teleostei","Carangiformes","Carangidae","Trachurus","Trachurus picturatus","fish",,,,,FALSE,TRUE,
159600,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Dorosoma","Dorosoma cepedianum","fish",,,,,FALSE,TRUE,
127047,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Boops","Boops boops","fish",,,,,FALSE,TRUE,
126835,"Chordata","Teleostei","Eupercaria incertae sedis","Cepolidae","Cepola","Cepola macrophthalma","fish",,,,,FALSE,TRUE,
126963,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris julis","fish",,,,,FALSE,TRUE,
273962,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex","Dentex dentex","fish","VU",,,,FALSE,TRUE,
126975,"Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus labrax","fish",,,,,FALSE,TRUE,
127049,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus annularis","fish",,,,,FALSE,TRUE,
127052,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus puntazzo","fish",,,,,FALSE,TRUE,
127053,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus sargus","fish",,1,2013,,TRUE,FALSE,
127054,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus vulgaris","fish",,1,2013,,TRUE,FALSE,
126967,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus merula","fish",,1,2013,,TRUE,TRUE,
126968,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus viridis","fish","VU",,,,FALSE,TRUE,
127055,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Lithognathus","Lithognathus mormyrus","fish",,1,2013,,TRUE,FALSE,
1577363,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Oblada","Oblada melanurus","fish",,,,,FALSE,TRUE,
127059,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagellus","Pagellus bogaraveo","fish","NT",,,,FALSE,TRUE,
127064,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Sarpa","Sarpa salpa","fish",,1,2020,,TRUE,FALSE,
126828,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spicara","Spicara maena","fish",,,,,FALSE,TRUE,
126830,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spicara","Spicara smaris","fish",,,,,FALSE,TRUE,
127066,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Spondyliosoma","Spondyliosoma cantharus","fish",,,,,FALSE,TRUE,
126970,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Thalassoma","Thalassoma pavo","fish",,1,2013,,TRUE,TRUE,
280313,"Chordata","Teleostei","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus mediterraneus","fish",,3,2009,,TRUE,FALSE,
158958,"Chordata","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides guentheri","fish",,2,2009,,TRUE,FALSE,
183099,"Chordata","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides mediterraneus","fish",,4,2009,,TRUE,FALSE,
126488,"Chordata","Teleostei","Gadiformes","Moridae","Gadella","Gadella maraldi","fish",,,,,FALSE,TRUE,
126495,"Chordata","Teleostei","Gadiformes","Moridae","Lepidion","Lepidion lepidion","fish",,5,2009,,TRUE,FALSE,
126497,"Chordata","Teleostei","Gadiformes","Moridae","Mora","Mora moro","fish",,2,2009,,TRUE,FALSE,
126475,"Chordata","Teleostei","Gadiformes","Macrouridae","Nezumia","Nezumia sclerorhynchus","fish",,5,2009,,TRUE,FALSE,
126502,"Chordata","Teleostei","Gadiformes","Phycidae","Phycis","Phycis phycis","fish",,,,,FALSE,TRUE,
126518,"Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Lepadogaster","Lepadogaster lepadogaster","fish",,,,,FALSE,TRUE,
126886,"Chordata","Teleostei","Gobiiformes","Gobiidae","Gobius","Gobius cobitis","fish",,,,,FALSE,TRUE,
273021,"Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon imberbis","fish",,,,,FALSE,TRUE,
126580,"Chordata","Teleostei","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","fish",,1,,,TRUE,FALSE,
126585,"Chordata","Teleostei","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus maderensis","fish",,2,2009,,TRUE,FALSE,
126592,"Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus","Diaphus holti","fish",,2,,,TRUE,FALSE,
126596,"Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus","Diaphus rafinesquii","fish",,1,,,TRUE,FALSE,
126602,"Chordata","Teleostei","Myctophiformes","Myctophidae","Hygophum","Hygophum benoiti","fish",,3,,,TRUE,FALSE,
126612,"Chordata","Teleostei","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus crocodilus","fish",,6,2009,,TRUE,FALSE,
126619,"Chordata","Teleostei","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus pusillus","fish",,1,,,TRUE,FALSE,
158900,"Chordata","Teleostei","Myctophiformes","Myctophidae","Lobianchia","Lobianchia dofleini","fish",,1,,,TRUE,FALSE,
126627,"Chordata","Teleostei","Myctophiformes","Myctophidae","Myctophum","Myctophum punctatum","fish",,1,,,TRUE,FALSE,
158913,"Chordata","Teleostei","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus bolini","fish",,2,,,TRUE,FALSE,
126630,"Chordata","Teleostei","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus veranyi","fish",,4,2009,,TRUE,FALSE,
126645,"Chordata","Teleostei","Notacanthiformes","Notacanthidae","Polyacanthonotus","Polyacanthonotus rissoanus","fish",,1,2009,,TRUE,FALSE,
126657,"Chordata","Teleostei","Ophidiiformes","Bythitidae","Cataetyx","Cataetyx laticeps","fish",,2,2009,,TRUE,FALSE,
275623,"Chordata","Teleostei","Ophidiiformes","Ophidiidae","Lepophidium","Lepophidium negropinna","fish",,1,2010,,TRUE,TRUE,
127000,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chromis","Chromis chromis","fish",,1,2013,,TRUE,TRUE,
127031,"Chordata","Teleostei","Perciformes","Serranidae","Anthias","Anthias anthias","fish",,,,,FALSE,TRUE,
127259,"Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys cuculus","fish",,,,,FALSE,TRUE,
127261,"Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys lastoviza","fish",,,,,FALSE,TRUE,
127262,"Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys lucerna","fish",,,,,FALSE,TRUE,
127036,"Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Epinephelus marginatus","fish",,1,2013,,TRUE,FALSE,
127251,"Chordata","Teleostei","Perciformes","Sebastidae","Helicolenus","Helicolenus dactylopterus","fish",,,,,FALSE,TRUE,
127247,"Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena","Scorpaena porcus","fish",,,,,FALSE,TRUE,
127248,"Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaena","Scorpaena scrofa","fish",,,,,FALSE,TRUE,
127041,"Chordata","Teleostei","Perciformes","Serranidae","Serranus","Serranus cabrilla","fish",,,,,FALSE,TRUE,
127043,"Chordata","Teleostei","Perciformes","Serranidae","Serranus","Serranus scriba","fish",,,,,FALSE,TRUE,
127082,"Chordata","Teleostei","Perciformes","Trachinidae","Trachinus","Trachinus draco","fish",,,,,FALSE,TRUE,
127266,"Chordata","Teleostei","Perciformes","Triglidae","Trigla","Trigla lyra","fish",,,,,FALSE,TRUE,
127093,"Chordata","Teleostei","Perciformes","Uranoscopidae","Uranoscopus","Uranoscopus scaber","fish",,,,,FALSE,TRUE,
127126,"Chordata","Teleostei","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus laterna","fish",,,,,FALSE,TRUE,
127129,"Chordata","Teleostei","Pleuronectiformes","Bothidae","Bothus","Bothus podas","fish",,,,,FALSE,TRUE,
127130,"Chordata","Teleostei","Pleuronectiformes","Citharidae","Citharus","Citharus linguatula","fish",,,,,FALSE,TRUE,
127157,"Chordata","Teleostei","Pleuronectiformes","Soleidae","Pegusa","Pegusa nasuta","fish",,,,,FALSE,TRUE,
127021,"Chordata","Teleostei","Scombriformes","Scombridae","Sarda","Sarda sarda","fish",,,,,FALSE,TRUE,
127022,"Chordata","Teleostei","Scombriformes","Scombridae","Scomber","Scomber japonicus","fish",,,,,FALSE,TRUE,
127309,"Chordata","Teleostei","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus","fish",,7,2009,,TRUE,FALSE,
127338,"Chordata","Teleostei","Stomiiformes","Stomiidae","Chauliodus","Chauliodus sloani","fish",,2,2009,,TRUE,FALSE,
127295,"Chordata","Teleostei","Stomiiformes","Gonostomatidae","Gonostoma","Gonostoma denudatum","fish",,1,,,TRUE,FALSE,
127311,"Chordata","Teleostei","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus amethystinopunctatus","fish",,3,,,TRUE,FALSE,
127374,"Chordata","Teleostei","Stomiiformes","Stomiidae","Stomias","Stomias boa","fish",,2,,,TRUE,FALSE,
306769,"Chordata","Teleostei","Stomiiformes","Stomiidae","Stomias","Stomias ferox","fish",,1,,,TRUE,FALSE,
127302,"Chordata","Teleostei","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria attenuata","fish",,3,,,TRUE,FALSE,
154776,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus guttulatus","fish",,1,2018,,TRUE,TRUE,
127393,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus typhle","fish",,2,2020,,TRUE,TRUE,
137205,"Chordata",,"Testudines","Cheloniidae","Caretta","Caretta caretta","turtle","VU",28,2022,,TRUE,TRUE,
