"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
1021330,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Beringraja","Beringraja binoculata","fish",,3,1993,,TRUE,TRUE,
299224,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus suckleyi","fish",,1,1961,,TRUE,TRUE,
271406,"Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus colliei","fish",,1,1998,,TRUE,FALSE,
314348,"Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Entosphenus","Entosphenus tridentatus","fish",,3,1966,,TRUE,TRUE,
254551,"Chordata","Teleostei","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti","fish",,2,2001,,TRUE,TRUE,
280366,"Chordata","Teleostei","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","fish",,,,,FALSE,TRUE,
158670,"Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa sapidissima","fish",,,,,FALSE,TRUE,
151159,"Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","fish",,1,1961,,TRUE,TRUE,
158706,"Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus catostomus","fish",,12,2001,,TRUE,TRUE,
154210,"Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox lucius","fish",,4,1976,,TRUE,TRUE,
300735,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus","fish",,7,2010,,TRUE,TRUE,
254538,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","fish",,1,1983,,TRUE,TRUE,
154388,"Chordata","Teleostei","Gadiformes","Lotidae","Lota","Lota lota","fish",,5,2001,,TRUE,TRUE,
272458,"Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","fish",,1,1998,,TRUE,FALSE,
275873,"Chordata","Teleostei","Gadiformes","Gadidae","Microgadus","Microgadus proximus","fish",,1,1961,,TRUE,TRUE,
282617,"Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Rimicola","Rimicola muscarum","fish",,1,1966,,TRUE,FALSE,
272732,"Chordata","Teleostei","Myctophiformes","Myctophidae","Protomyctophum","Protomyctophum thompsoni","fish",,1,1985,,TRUE,TRUE,
254363,"Chordata","Teleostei","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus","fish",,2,1977,,TRUE,TRUE,
279422,"Chordata","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus","fish",,2,1961,,TRUE,TRUE,
126735,"Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","fish",,3,1996,,TRUE,TRUE,
282959,"Chordata","Teleostei","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus","fish",,5,2013,,TRUE,TRUE,
279555,"Chordata","Teleostei","Perciformes","Liparidae","Allocareproctus","Allocareproctus jordani","fish",,,,,FALSE,TRUE,
272967,"Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus","fish",,2,2010,,TRUE,FALSE,
279605,"Chordata","Teleostei","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus","fish",,,,,FALSE,TRUE,
127070,"Chordata","Teleostei","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius","fish",,1,2002,,TRUE,TRUE,
279633,"Chordata","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus purpurescens","fish",,2,2000,,TRUE,TRUE,
159463,"Chordata","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","fish",,1,1998,,TRUE,TRUE,
279664,"Chordata","Teleostei","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus","fish",,1,1961,,TRUE,TRUE,
279700,"Chordata","Teleostei","Perciformes","Cottidae","Artedius","Artedius fenestralis","fish",,1,1961,,TRUE,TRUE,
254503,"Chordata","Teleostei","Perciformes","Agonidae","Bathyagonus","Bathyagonus alascanus","fish",,2,2002,,TRUE,TRUE,
254504,"Chordata","Teleostei","Perciformes","Agonidae","Bathyagonus","Bathyagonus infraspinatus","fish",,1,2002,,TRUE,TRUE,
254505,"Chordata","Teleostei","Perciformes","Agonidae","Bathyagonus","Bathyagonus nigripinnis","fish",,1,,,TRUE,TRUE,
254513,"Chordata","Teleostei","Perciformes","Bathymasteridae","Bathymaster","Bathymaster signatus","fish",,3,2002,,TRUE,TRUE,
254540,"Chordata","Teleostei","Perciformes","Hemitripteridae","Blepsias","Blepsias bilobus","fish",,,,,FALSE,TRUE,
367288,"Chordata","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus gilberti","fish",,,,,FALSE,TRUE,
274470,"Chordata","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus scottae","fish",,5,2002,,TRUE,TRUE,
274477,"Chordata","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus spectrum","fish",,2,1951,,TRUE,FALSE,
280220,"Chordata","Teleostei","Perciformes","Cottidae","Clinocottus","Clinocottus embryum","fish",,2,1961,,TRUE,TRUE,
280221,"Chordata","Teleostei","Perciformes","Cottidae","Clinocottus","Clinocottus globiceps","fish",,1,1961,,TRUE,TRUE,
274366,"Chordata","Teleostei","Perciformes","Cottidae","Cottus","Cottus aleuticus","fish",,4,2003,,TRUE,TRUE,
159512,"Chordata","Teleostei","Perciformes","Cottidae","Cottus","Cottus cognatus","fish",,30,2002,,TRUE,TRUE,
276392,"Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes giganteus","fish",,1,1998,,TRUE,FALSE,
280488,"Chordata","Teleostei","Perciformes","Psychrolutidae","Dasycottus","Dasycottus setiger","fish",,2,1996,,TRUE,TRUE,
254535,"Chordata","Teleostei","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus orbis","fish",,4,2002,,TRUE,TRUE,
126505,"Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","fish",,5,2003,,TRUE,TRUE,
254522,"Chordata","Teleostei","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus jordani","fish",,2,1968,,TRUE,TRUE,
240732,"Chordata","Teleostei","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus","fish",,4,1961,,TRUE,TRUE,
281133,"Chordata","Teleostei","Perciformes","Cottidae","Icelinus","Icelinus borealis","fish",,1,1968,,TRUE,FALSE,
127200,"Chordata","Teleostei","Perciformes","Cottidae","Icelus","Icelus spatula","fish",,1,1968,,TRUE,TRUE,
254525,"Chordata","Teleostei","Perciformes","Cottidae","Icelus","Icelus spiniger","fish",,1,1968,,TRUE,TRUE,
127072,"Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","fish",,1,2002,,TRUE,TRUE,
254345,"Chordata","Teleostei","Perciformes","Cottidae","Leptocottus","Leptocottus armatus","fish",,4,1975,,TRUE,TRUE,
274505,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis callyodon","fish",,6,1976,,TRUE,TRUE,
254550,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis dennyi","fish",,3,1997,,TRUE,TRUE,
159526,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis gibbus","fish",,2,2002,,TRUE,TRUE,
254351,"Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenella","Lumpenella longirostris","fish",,1,1962,,TRUE,TRUE,
254579,"Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta","fish",,5,2002,,TRUE,TRUE,
274116,"Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes pacificus","fish",,3,2002,,TRUE,TRUE,
254406,"Chordata","Teleostei","Perciformes","Psychrolutidae","Malacocottus","Malacocottus zonurus","fish",,2,2001,,TRUE,TRUE,
127203,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","fish",,3,2002,,TRUE,TRUE,
281872,"Chordata","Teleostei","Perciformes","Cottidae","Oligocottus","Oligocottus maculosus","fish",,3,1961,,TRUE,TRUE,
240745,"Chordata","Teleostei","Perciformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","fish",,1,2004,,TRUE,TRUE,
273689,"Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis laeta","fish",,2,,,TRUE,TRUE,
254501,"Chordata","Teleostei","Perciformes","Agonidae","Podothecus","Podothecus accipenserinus","fish",,2,2001,,TRUE,TRUE,
254385,"Chordata","Teleostei","Perciformes","Stichaeidae","Poroclinus","Poroclinus rothrocki","fish",,1,2002,,TRUE,TRUE,
274679,"Chordata","Teleostei","Perciformes","Psychrolutidae","Psychrolutes","Psychrolutes sigalutes","fish",,2,2009,,TRUE,TRUE,
282541,"Chordata","Teleostei","Perciformes","Cottidae","Radulinus","Radulinus asprellus","fish",,1,1966,,TRUE,TRUE,
282629,"Chordata","Teleostei","Perciformes","Bathymasteridae","Ronquilus","Ronquilus jordani","fish",,2,1968,,TRUE,TRUE,
274771,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes aleutianus","fish",,4,1998,,TRUE,TRUE,
254573,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes alutus","fish",,1,1961,,TRUE,TRUE,
274775,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes babcocki","fish",,,,,FALSE,TRUE,
274777,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes borealis","fish",,1,1998,,TRUE,TRUE,
274815,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes maliger","fish",,1,1961,,TRUE,TRUE,
274817,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes melanops","fish",,1,1961,,TRUE,TRUE,
282740,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","fish","EN",1,1998,,TRUE,FALSE,
159819,"Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus","fish",,1,1961,,TRUE,TRUE,
283043,"Chordata","Teleostei","Perciformes","Trichodontidae","Trichodon","Trichodon trichodon","fish",,4,1984,,TRUE,TRUE,
127207,"Chordata","Teleostei","Perciformes","Cottidae","Triglops","Triglops pingelii","fish",,1,1968,,TRUE,TRUE,
283194,"Chordata","Teleostei","Perciformes","Stichaeidae","Xiphister","Xiphister atropurpureus","fish",,1,1961,,TRUE,TRUE,
254353,"Chordata","Teleostei","Perciformes","Zaproridae","Zaprora","Zaprora silenus","fish",,,,,FALSE,TRUE,
