"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
105837,"Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus","fish","EN",,,,FALSE,TRUE,
105863,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja hyperborea","fish",,,,,FALSE,TRUE,
105865,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","fish","VU",,,,FALSE,TRUE,
105868,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda","fish","NT",,,,FALSE,TRUE,
105894,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella","Rajella fyllae","fish",,,,,FALSE,TRUE,
105913,"Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus spinax","fish","VU",,,,FALSE,TRUE,
105919,"Chordata","Elasmobranchii","Squaliformes","Somniosidae","Somniosus","Somniosus microcephalus","fish","VU",,,,FALSE,TRUE,
101174,"Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus","fish",,,,,FALSE,TRUE,
126417,"Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","fish",,,,,FALSE,TRUE,
126432,"Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","fish",,,,,FALSE,TRUE,
126433,"Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","fish",,1,2009,,TRUE,TRUE,
126448,"Chordata","Teleostei","Gadiformes","Lotidae","Ciliata","Ciliata mustela","fish",,,,,FALSE,TRUE,
126450,"Chordata","Teleostei","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius","fish",,,,,FALSE,TRUE,
300735,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus","fish",,,,,FALSE,TRUE,
126436,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","fish","VU",,,,FALSE,TRUE,
126451,"Chordata","Teleostei","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus argentatus","fish",,,,,FALSE,TRUE,
126453,"Chordata","Teleostei","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus ensis","fish",,,,,FALSE,TRUE,
126472,"Chordata","Teleostei","Gadiformes","Macrouridae","Macrourus","Macrourus berglax","fish",,,,,FALSE,TRUE,
126437,"Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","fish","VU",,,,FALSE,TRUE,
126438,"Chordata","Teleostei","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","fish",,,,,FALSE,TRUE,
126461,"Chordata","Teleostei","Gadiformes","Lotidae","Molva","Molva molva","fish",,,,,FALSE,TRUE,
183289,"Chordata","Teleostei","Gadiformes","Macrouridae","Nezumia","Nezumia bairdii","fish",,,,,FALSE,TRUE,
126441,"Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","fish",,,,,FALSE,TRUE,
126444,"Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","fish",,,,,FALSE,TRUE,
126868,"Chordata","Teleostei","Gobiiformes","Gobiidae","Aphia","Aphia minuta","fish",,,,,FALSE,TRUE,
126525,"Chordata","Teleostei","Lampriformes","Regalecidae","Regalecus","Regalecus glesne","fish",,,,,FALSE,TRUE,
126580,"Chordata","Teleostei","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","fish",,,,,FALSE,TRUE,
126735,"Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","fish",,,,,FALSE,TRUE,
126736,"Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus eperlanus","fish",,,,,FALSE,TRUE,
127190,"Chordata","Teleostei","Perciformes","Agonidae","Agonus","Agonus cataphractus","fish",,,,,FALSE,TRUE,
254510,"Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","fish",,,,,FALSE,TRUE,
126751,"Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","fish",,,,,FALSE,TRUE,
126752,"Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus","fish",,,,,FALSE,TRUE,
126758,"Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","fish",,,,,FALSE,TRUE,
126759,"Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor","fish",,,,,FALSE,TRUE,
254511,"Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas orientalis","fish",,,,,FALSE,TRUE,
127070,"Chordata","Teleostei","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius","fish",,3,2009,,TRUE,TRUE,
127193,"Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus atlanticus","fish",,,,,FALSE,TRUE,
127194,"Chordata","Teleostei","Perciformes","Cottidae","Artediellus","Artediellus scaber","fish",,,,,FALSE,TRUE,
309268,"Chordata","Teleostei","Perciformes","Agonidae","Aspidophoroides","Aspidophoroides olrikii","fish",,,,,FALSE,TRUE,
127071,"Chordata","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis ascanii","fish",,,,,FALSE,TRUE,
127235,"Chordata","Teleostei","Perciformes","Psychrolutidae","Cottunculus","Cottunculus microps","fish",,,,,FALSE,TRUE,
127214,"Chordata","Teleostei","Perciformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","fish",,,,,FALSE,TRUE,
159817,"Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus","fish",,,,,FALSE,TRUE,
127217,"Chordata","Teleostei","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","fish",,,,,FALSE,TRUE,
150637,"Chordata","Teleostei","Perciformes","Triglidae","Eutrigla","Eutrigla gurnardus","fish",,,,,FALSE,TRUE,
126505,"Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","fish",,,,,FALSE,TRUE,
254583,"Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","Gymnelus hemifasciatus","fish",,1,,,TRUE,TRUE,
127096,"Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","Gymnelus viridis","fish",,,,,FALSE,TRUE,
127198,"Chordata","Teleostei","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis","fish",,,,,FALSE,TRUE,
127199,"Chordata","Teleostei","Perciformes","Cottidae","Icelus","Icelus bicornis","fish",,,,,FALSE,TRUE,
127200,"Chordata","Teleostei","Perciformes","Cottidae","Icelus","Icelus spatula","fish",,2,2009,,TRUE,TRUE,
127191,"Chordata","Teleostei","Perciformes","Agonidae","Leptagonus","Leptagonus decagonus","fish",,,,,FALSE,TRUE,
127072,"Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","fish",,3,2009,,TRUE,TRUE,
867958,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis bathyarcticus","fish",,,,,FALSE,TRUE,
127218,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis fabricii","fish",,3,2009,,TRUE,TRUE,
127219,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis liparis","fish",,,,,FALSE,TRUE,
154825,"Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis tunicatus","fish",,4,2009,,TRUE,TRUE,
127073,"Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii","fish",,,,,FALSE,TRUE,
154675,"Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","fish",,,,,FALSE,TRUE,
127103,"Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes esmarkii","fish",,,,,FALSE,TRUE,
254584,"Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes mucosus","fish",,,,,FALSE,TRUE,
127111,"Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes polaris","fish",,,,,FALSE,TRUE,
254527,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus jaok","fish",,,,,FALSE,TRUE,
254529,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus quadricornis","fish",,,,,FALSE,TRUE,
127203,"Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","fish",,,,,FALSE,TRUE,
126996,"Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","fish",,,,,FALSE,TRUE,
126507,"Chordata","Teleostei","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","fish",,1,,,TRUE,TRUE,
127254,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes mentella","fish",,,,,FALSE,TRUE,
151324,"Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes norvegicus","fish",,,,,FALSE,TRUE,
159819,"Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus","fish",,,,,FALSE,TRUE,
127204,"Chordata","Teleostei","Perciformes","Cottidae","Taurulus","Taurulus bubalis","fish",,,,,FALSE,TRUE,
127207,"Chordata","Teleostei","Perciformes","Cottidae","Triglops","Triglops pingelii","fish",,,,,FALSE,TRUE,
127123,"Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","fish",,,,,FALSE,TRUE,
127137,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","fish","EN",,,,FALSE,TRUE,
254561,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides robustus","fish",,,,,FALSE,TRUE,
127139,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda limanda","fish",,,,,FALSE,TRUE,
127143,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","fish",,,,,FALSE,TRUE,
127144,"Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","fish","NT",,,,FALSE,TRUE,
127182,"Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","fish",,,,,FALSE,TRUE,
127186,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","fish",,,,,FALSE,TRUE,
127187,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta","fish",,,,,FALSE,TRUE,
127188,"Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus","fish",,,,,FALSE,TRUE,
126865,"Chordata","Teleostei","Scombriformes","Gempylidae","Nesiarchus","Nesiarchus nasutus","fish",,,,,FALSE,TRUE,
127023,"Chordata","Teleostei","Scombriformes","Scombridae","Scomber","Scomber scombrus","fish",,,,,FALSE,TRUE,
127393,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus typhle","fish",,,,,FALSE,TRUE,
137078,"Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata","mammal","VU",,,,FALSE,TRUE,
137079,"Chordata","Mammalia","Carnivora","Phocidae","Erignathus","Erignathus barbatus","mammal",,,,,FALSE,TRUE,
137080,"Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","mammal",,,,,FALSE,TRUE,
137076,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra","Lutra lutra","mammal","NT",,,,FALSE,TRUE,
137077,"Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus","mammal","VU",,,,FALSE,TRUE,
159019,"Chordata","Mammalia","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus","mammal",,,,,FALSE,TRUE,
137084,"Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","mammal",,,,,FALSE,TRUE,
159021,"Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa hispida","mammal",,,,,FALSE,TRUE,
137085,"Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus","mammal","VU",75,2011,,TRUE,TRUE,
404130,"Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes lagopus","mammal",,,,,FALSE,TRUE,
137086,"Chordata","Mammalia","Cetartiodactyla","Balaenidae","Balaena","Balaena mysticetus","mammal",,1,2019,,TRUE,TRUE,
137087,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata","mammal",,,,,FALSE,TRUE,
137090,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","mammal","EN",,,,FALSE,TRUE,
137091,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus","mammal","VU",,,,FALSE,TRUE,
137115,"Chordata","Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus","Delphinapterus leucas","mammal",,,,,FALSE,TRUE,
137112,"Chordata","Mammalia","Cetartiodactyla","Eschrichtiidae","Eschrichtius","Eschrichtius robustus","mammal",,,,,FALSE,TRUE,
