"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_dna"
298238,"Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","Cephaloscyllium isabella","fish",,7,2008,,TRUE,
105820,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","fish","CR",87,1996,,TRUE,
280912,"Chordata","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Gollum","Gollum attenuatus","fish",,1,1986,,TRUE,
271388,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus lenticulatus","fish",,5,1986,,TRUE,
105837,"Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus","fish","EN",2,2019,,TRUE,
105841,"Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","fish","VU",1,1977,,TRUE,
1019871,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dentiraja","Dentiraja australis","fish",,1,1977,,TRUE,
271549,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus innominatus","fish",,3,1992,,TRUE,
271555,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus nasutus","fish",,6,2001,,TRUE,
105901,"Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","Centrophorus squamosus","fish","EN",3,1993,,TRUE,
105910,"Chordata","Elasmobranchii","Squaliformes","Dalatiidae","Dalatias","Dalatias licha","fish","VU",1,1992,,TRUE,
298167,"Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Deania","Deania calceus","fish",,3,1993,,TRUE,
217367,"Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Deania","Deania quadrispinosa","fish","VU",1,1992,,TRUE,
215604,"Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus lucifer","fish",,3,1993,,TRUE,
215608,"Chordata","Elasmobranchii","Squaliformes","Dalatiidae","Euprotomicrus","Euprotomicrus bispinatus","fish",,1,1889,,TRUE,
299100,"Chordata","Elasmobranchii","Squaliformes","Somniosidae","Scymnodon","Scymnodon macracanthus","fish",,1,1993,,TRUE,
105923,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","fish","VU",16,1996,,TRUE,
298552,"Chordata","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","Chimaera ogilbyi","fish",,2,1972,,TRUE,
271405,"Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus bemisi","fish",,3,2001,,TRUE,
271415,"Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus novaezealandiae","fish",,7,2008,,TRUE,
277889,"Chordata","Teleostei","Acropomatiformes","Creediidae","Limnichthys","Limnichthys rendahli","fish",,1,1943,,TRUE,
221430,"Chordata","Teleostei","Acropomatiformes","Polyprionidae","Polyprion","Polyprion oxygeneios","fish",,17,1996,,TRUE,
282630,"Chordata","Teleostei","Acropomatiformes","Epigonidae","Rosenblattia","Rosenblattia robusta","fish",,1,,,TRUE,
272894,"Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina elongata","fish",,2,2001,,TRUE,
282131,"Chordata","Teleostei","Aulopiformes","Paraulopidae","Paraulopus","Paraulopus nigripinnis","fish",,1,2008,,TRUE,
