"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_dna"
219624,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucopareius","fish",,2,1990,,TRUE,
219640,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus","fish",,1,2015,,TRUE,
219625,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus olivaceus","fish",,1,2015,,TRUE,
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus","fish",,1,2015,,TRUE,
278836,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge flavissima","fish",,2,2015,,TRUE,
712745,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge interrupta","fish",,1,2015,,TRUE,
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga","fish",,1,2017,,TRUE,
273327,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auripes","fish",,1,2015,,TRUE,
273341,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon guentheri","fish",,2,1992,,TRUE,
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis","fish","NT",1,2015,,TRUE,
219655,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus","fish",,2,2015,,TRUE,
219659,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus striatus","fish",,1,2015,,TRUE,
277575,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Hemitaurichthys","Hemitaurichthys polylepis","fish",,2,1991,,TRUE,
220001,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus imperator","fish",,1,2017,,TRUE,
