"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
105820,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","fish","CR",3,,,TRUE,TRUE,
271393,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus schmitti","fish","CR",1,,,TRUE,TRUE,
217628,"Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","Notorynchus cepedianus","fish","VU",1,,,TRUE,TRUE,
271487,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis goodei","fish","VU",2,,,TRUE,TRUE,
279818,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja","Atlantoraja platana","fish","EN",,,,FALSE,TRUE,
271545,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus flavirostris","fish",,1,,,TRUE,TRUE,
282390,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Psammobatis","Psammobatis normani","fish",,,,,FALSE,TRUE,
282917,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Sympterygia","Sympterygia bonapartii","fish","NT",,,,FALSE,TRUE,
105923,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","fish","VU",1,,,TRUE,TRUE,
217371,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus mitsukurii","fish","EN",,,,FALSE,TRUE,
271664,"Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","Squatina argentina","fish","CR",1,,,TRUE,TRUE,
280568,"Chordata","Elasmobranchii","Torpediniformes","Narcinidae","Discopyge","Discopyge tschudii","fish",,1,,,TRUE,TRUE,
321912,"Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","Tetronarce puelcha","fish","CR",1,,,TRUE,TRUE,
278468,"Chordata","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","fish","VU",6,1995,,TRUE,TRUE,
278469,"Chordata","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus milii","fish",,2,1996,,TRUE,FALSE,
234629,"Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine australis","fish",,,,,FALSE,TRUE,
281794,"Chordata","Myxini","Myxiniformes","Myxinidae","Notomyxine","Notomyxine tridentiger","fish",,,,,FALSE,TRUE,
126998,"Chordata","Teleostei","Acropomatiformes","Polyprionidae","Polyprion","Polyprion americanus","fish",,1,,,TRUE,TRUE,
271747,"Chordata","Teleostei","Anguilliformes","Congridae","Conger","Conger orbignianus","fish",,1,,,TRUE,TRUE,
281824,"Chordata","Teleostei","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes argentinensis","fish",,2,,,TRUE,TRUE,
281826,"Chordata","Teleostei","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes incisa","fish",,1,,,TRUE,TRUE,
281828,"Chordata","Teleostei","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes nigricans","fish",,2,,,TRUE,TRUE,
281829,"Chordata","Teleostei","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes platensis","fish",,1,,,TRUE,TRUE,
275662,"Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys porosissimus","fish",,1,,,TRUE,TRUE,
283038,"Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Triathalassothia","Triathalassothia argentina","fish",,1,,,TRUE,TRUE,
279353,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Helcogrammoides","Helcogrammoides cunninghami","fish",,133,2019,,TRUE,TRUE,
282611,"Chordata","Teleostei","Blenniiformes","Clinidae","Ribeiroclinus","Ribeiroclinus eigenmanni","fish",,10,2019,,TRUE,TRUE,
282169,"Chordata","Teleostei","Carangiformes","Carangidae","Parona","Parona signata","fish",,1,,,TRUE,TRUE,
218436,"Chordata","Teleostei","Carangiformes","Carangidae","Seriola","Seriola lalandi","fish",,1,,,TRUE,TRUE,
159655,"Chordata","Teleostei","Carangiformes","Carangidae","Trachurus","Trachurus lathami","fish",,1,,,TRUE,TRUE,
281650,"Chordata","Teleostei","Centrarchiformes","Cheilodactylidae","Nemadactylus","Nemadactylus bergi","fish",,2,,,TRUE,TRUE,
275498,"Chordata","Teleostei","Clupeiformes","Alosidae","Brevoortia","Brevoortia aurea","fish",,,,,FALSE,TRUE,
272284,"Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","fish",,1,,,TRUE,TRUE,
293578,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus argenteus","fish",,1,,,TRUE,TRUE,
127063,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagrus","Pagrus pagrus","fish",,2,,,TRUE,TRUE,
272449,"Chordata","Teleostei","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","fish",,1,,,TRUE,TRUE,
272455,"Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","fish",,1,,,TRUE,TRUE,
234703,"Chordata","Teleostei","Gadiformes","Moridae","Notophycis","Notophycis marginata","fish",,,,,FALSE,TRUE,
282654,"Chordata","Teleostei","Gadiformes","Moridae","Salilota","Salilota australis","fish",,1,,,TRUE,TRUE,
272519,"Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis brasiliensis","fish",,1,,,TRUE,TRUE,
280811,"Chordata","Teleostei","Galaxiiformes","Galaxiidae","Galaxias","Galaxias maculatus","fish",,,,,FALSE,TRUE,
273655,"Chordata","Teleostei","Mugiliformes","Mugilidae","Mugil","Mugil liza","fish",,1,,,TRUE,TRUE,
273661,"Chordata","Teleostei","Mulliformes","Mullidae","Mullus","Mullus argentinae","fish",,,,,FALSE,TRUE,
