"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
217337,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus amblyrhynchos","fish","EN",3,2007,,TRUE,TRUE,
105789,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus falciformis","fish","VU",2,2017,,TRUE,TRUE,
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","fish","VU",,,,FALSE,TRUE,
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus","fish","VU",2,2007,,TRUE,TRUE,
214557,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon","Triaenodon obesus","fish","VU",8,2007,,TRUE,TRUE,
278243,"Chordata","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","Aetobatus ocellatus","fish","VU",,,,FALSE,TRUE,
1042871,"Chordata","Elasmobranchii","Myliobatiformes","Mobulidae","Mobula","Mobula alfredi","fish","VU",,,,FALSE,TRUE,
1026118,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula birostris","fish","EN",1,2014,,TRUE,TRUE,
217436,"Chordata","Elasmobranchii","Myliobatiformes","Mobulidae","Mobula","Mobula kuhlii","fish","EN",,,,FALSE,TRUE,
1043416,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis fai","fish","VU",,,,FALSE,TRUE,
712972,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniurops","Taeniurops meyeni","fish","VU",,,,FALSE,TRUE,
989371,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Urogymnus","Urogymnus granulatus","fish","VU",,,,FALSE,TRUE,
220030,"Chordata","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Nebrius","Nebrius ferrugineus","fish","VU",,,,FALSE,TRUE,
105847,"Chordata","Elasmobranchii","Orectolobiformes","Rhincodontidae","Rhincodon","Rhincodon typus","fish","EN",1,2008,,TRUE,FALSE,
219637,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus bariene","fish",,1,2007,,TRUE,TRUE,
219639,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus blochii","fish",,7,2007,,TRUE,TRUE,
272960,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus fowleri","fish",,,,,FALSE,TRUE,
219650,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus guttatus","fish",,3,2007,,TRUE,TRUE,
219629,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus","fish",,1,2007,,TRUE,TRUE,
159582,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus lineatus","fish",,55,2007,,TRUE,TRUE,
272963,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus maculiceps","fish",,5,2007,,TRUE,TRUE,
219638,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricans","fish",,44,2007,,TRUE,TRUE,
219626,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricauda","fish",,30,2007,,TRUE,TRUE,
219640,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus","fish",,80,2007,,TRUE,TRUE,
219642,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigroris","fish",,1,2007,,TRUE,TRUE,
219625,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus olivaceus","fish",,8,2007,,TRUE,TRUE,
219648,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus pyroferus","fish",,16,2007,,TRUE,TRUE,
219646,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus thompsoni","fish",,8,2007,,TRUE,TRUE,
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus","fish",,30,2007,,TRUE,TRUE,
219634,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus","fish",,,,,FALSE,TRUE,
211787,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Apolemichthys","Apolemichthys trimaculatus","fish",,,,,FALSE,TRUE,
389843,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge abei","fish",,2,2007,,TRUE,TRUE,
211780,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge bicolor","fish",,18,2004,,TRUE,TRUE,
278830,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge bispinosa","fish",,27,2006,,TRUE,TRUE,
278832,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge colini","fish",,,,,FALSE,TRUE,
211778,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge fisheri","fish",,6,2004,,TRUE,TRUE,
278837,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge heraldi","fish",,3,1955,,TRUE,TRUE,
402161,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge loriculus","fish",,,,,FALSE,TRUE,
278847,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge nox","fish",,4,2006,,TRUE,TRUE,
278851,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge tibicen","fish",,41,2006,,TRUE,TRUE,
278853,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge vrolikii","fish",,68,2006,,TRUE,TRUE,
273322,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon adiergastos","fish",,,,,FALSE,TRUE,
273326,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon aureofasciatus","fish",,5,2007,,TRUE,TRUE,
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga","fish",,91,2007,,TRUE,TRUE,
273328,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon baronessa","fish",,33,2007,,TRUE,TRUE,
218735,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon bennetti","fish",,26,2007,,TRUE,TRUE,
273329,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon burgessi","fish",,,,,FALSE,TRUE,
159661,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon capistratus","fish",,,,,FALSE,TRUE,
218744,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon citrinellus","fish",,68,2007,,TRUE,TRUE,
273335,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon ephippium","fish",,153,2007,,TRUE,TRUE,
218726,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon falcula","fish",,4,1959,,TRUE,TRUE,
218738,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon kleinii","fish",,121,2007,,TRUE,TRUE,
218734,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lineolatus","fish",,11,2007,,TRUE,TRUE,
218733,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lunula","fish",,32,2007,,TRUE,TRUE,
398549,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lunulatus","fish",,53,2007,,TRUE,TRUE,
218743,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon melannotus","fish",,40,2007,,TRUE,TRUE,
273347,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon mertensii","fish",,1,2007,,TRUE,TRUE,
218752,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon meyeri","fish",,31,2007,,TRUE,TRUE,
218746,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon octofasciatus","fish",,52,2007,,TRUE,TRUE,
273352,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon ornatissimus","fish",,50,2007,,TRUE,TRUE,
218725,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon oxycephalus","fish",,9,2007,,TRUE,TRUE,
273353,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon pelewensis","fish",,,,,FALSE,TRUE,
273354,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon plebeius","fish",,1,2007,,TRUE,TRUE,
273355,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon punctatofasciatus","fish",,30,2007,,TRUE,TRUE,
273357,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon rafflesii","fish",,61,2007,,TRUE,TRUE,
273359,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon reticulatus","fish",,39,2007,,TRUE,TRUE,
273361,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon semeion","fish",,49,2007,,TRUE,TRUE,
218740,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon speculum","fish",,17,2007,,TRUE,TRUE,
218748,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon triangulum","fish",,23,1957,,TRUE,TRUE,
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis","fish","NT",119,2007,,TRUE,TRUE,
218741,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifasciatus","fish",,143,1959,,TRUE,TRUE,
218717,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon ulietensis","fish",,42,2007,,TRUE,TRUE,
218753,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon unimaculatus","fish",,36,2007,,TRUE,TRUE,
218754,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon vagabundus","fish",,76,2007,,TRUE,TRUE,
280121,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Chaetodontoplus","Chaetodontoplus mesoleucus","fish",,21,2006,,TRUE,TRUE,
712746,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Chaetodontoplus","Chaetodontoplus poliourus","fish",,3,2004,,TRUE,TRUE,
280391,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Coradion","Coradion chrysozonus","fish",,2,1959,,TRUE,TRUE,
219655,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus","fish",,27,2007,,TRUE,TRUE,
277559,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus cyanocheilus","fish",,7,2006,,TRUE,TRUE,
277560,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus flavicauda","fish",,1,2007,,TRUE,TRUE,
219659,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus striatus","fish",,86,2007,,TRUE,TRUE,
219658,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus strigosus","fish",,4,2007,,TRUE,TRUE,
277562,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus tominiensis","fish",,,,,FALSE,TRUE,
218760,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger flavissimus","fish",,48,2007,,TRUE,TRUE,
218759,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger longirostris","fish",,9,2007,,TRUE,TRUE,
278576,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Gazza","Gazza achlamys","fish",,1,2006,,TRUE,TRUE,
279092,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Genicanthus","Genicanthus bellus","fish",,2,1997,,TRUE,FALSE,
279093,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Genicanthus","Genicanthus melanospilos","fish",,,,,FALSE,TRUE,
277575,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Hemitaurichthys","Hemitaurichthys polylepis","fish",,10,2007,,TRUE,TRUE,
218765,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus acuminatus","fish",,1,2007,,TRUE,TRUE,
276748,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus chrysostomus","fish",,82,2007,,TRUE,TRUE,
218764,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus monoceros","fish",,8,2007,,TRUE,TRUE,
218766,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus singularius","fish",,,,,FALSE,TRUE,
276750,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus varius","fish",,33,2007,,TRUE,TRUE,
219673,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso annulatus","fish",,3,2007,,TRUE,TRUE,
219664,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brachycentron","fish",,2,2007,,TRUE,TRUE,
219671,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brevirostris","fish",,16,2007,,TRUE,TRUE,
219667,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso hexacanthus","fish",,3,2007,,TRUE,TRUE,
219665,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso lituratus","fish",,50,2007,,TRUE,TRUE,
219670,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso thynnoides","fish",,3,2007,,TRUE,TRUE,
219675,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso tuberosus","fish",,,,,FALSE,TRUE,
219668,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso unicornis","fish",,20,2007,,TRUE,TRUE,
219672,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso vlamingii","fish",,15,2007,,TRUE,TRUE,
219676,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Paracanthurus","Paracanthurus hepatus","fish",,2,1967,,TRUE,TRUE,
320012,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Paracentropyge","Paracentropyge multifasciata","fish",,7,2006,,TRUE,TRUE,
276801,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax boersii","fish",,,,,FALSE,TRUE,
218711,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax orbicularis","fish",,2,1957,,TRUE,TRUE,
218712,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax pinnatus","fish",,4,2006,,TRUE,TRUE,
218710,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax teira","fish",,4,2007,,TRUE,TRUE,
220001,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus imperator","fish",,5,2007,,TRUE,TRUE,
276024,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus navarchus","fish",,2,1959,,TRUE,TRUE,
220003,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus semicirculatus","fish",,3,1955,,TRUE,FALSE,
276026,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus sexstriatus","fish",,19,2007,,TRUE,TRUE,
276027,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus xanthometopon","fish",,7,2007,,TRUE,TRUE,
1338928,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Prognathodes","Prognathodes geminus","fish",,1,2007,,TRUE,TRUE,
211773,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pygoplites","Pygoplites diacanthus","fish",,91,2007,,TRUE,TRUE,
219686,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus argenteus","fish",,24,2007,,TRUE,TRUE,
219687,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus canaliculatus","fish",,2,2007,,TRUE,TRUE,
219690,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus corallinus","fish",,35,2007,,TRUE,TRUE,
273911,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus doliatus","fish",,72,2007,,TRUE,TRUE,
273912,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus fuscescens","fish",,31,2007,,TRUE,TRUE,
273913,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus guttatus","fish",,2,2007,,TRUE,TRUE,
273916,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus lineatus","fish",,17,2007,,TRUE,TRUE,
273919,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus puelloides","fish",,1,1968,,TRUE,FALSE,
273920,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus puellus","fish",,75,2007,,TRUE,TRUE,
273921,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus punctatissimus","fish",,19,2007,,TRUE,TRUE,
273922,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus punctatus","fish",,28,1969,,TRUE,TRUE,
127045,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus rivulatus","fish",,,,,FALSE,TRUE,
219689,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus spinus","fish",,7,2007,,TRUE,TRUE,
219692,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus stellatus","fish",,1,2007,,TRUE,TRUE,
273927,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus vermiculatus","fish",,2,2007,,TRUE,TRUE,
273929,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus vulpinus","fish",,67,2007,,TRUE,TRUE,
220083,"Chordata","Teleostei","Acanthuriformes","Zanclidae","Zanclus","Zanclus cornutus","fish",,114,2007,,TRUE,TRUE,
219683,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma flavescens","fish",,1,1968,,TRUE,TRUE,
219679,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma scopas","fish",,56,2007,,TRUE,TRUE,
712902,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma velifer","fish",,45,2007,,TRUE,TRUE,
219164,"Chordata","Teleostei","Acropomatiformes","Creediidae","Limnichthys","Limnichthys nitidus","fish",,9,2004,,TRUE,TRUE,
218698,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Parapriacanthus","Parapriacanthus ransonneti","fish",,,,,FALSE,TRUE,
218700,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris oualensis","fish",,1,2006,,TRUE,TRUE,
218701,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris vanicolensis","fish",,12,2004,,TRUE,TRUE,
276566,"Chordata","Teleostei","Acropomatiformes","Symphysanodontidae","Symphysanodon","Symphysanodon katayamai","fish",,2,1997,,TRUE,FALSE,
271801,"Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias leucurus","fish",,,,,FALSE,TRUE,
217465,"Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias seychellensis","fish",,3,2004,,TRUE,TRUE,
271727,"Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma megalops","fish",,6,2004,,TRUE,TRUE,
217541,"Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma scheelei","fish",,2,1957,,TRUE,FALSE,
