"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_dna"
217347,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus dussumieri","fish","EN",1,,,TRUE,
271322,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus hemiodon","fish","CR",2,,,TRUE,
105792,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus leucas","fish","NT",2,,,TRUE,
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","fish","NT",2,,,TRUE,
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus","fish","VU",3,,,TRUE,
217339,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus sorrah","fish","NT",1,,,TRUE,
220034,"Chordata","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis","Eridacnis radcliffei","fish",,1,,,TRUE,
280757,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Eusphyra","Eusphyra blochii","fish","EN",3,,,TRUE,
105799,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo","Galeocerdo cuvier","fish","NT",1,,,TRUE,
277183,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis","Glyphis gangeticus","fish","CR",2,,,TRUE,
277184,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis","Glyphis glyphis","fish","EN",1,,,TRUE,
281270,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Lamiopsis","Lamiopsis temminckii","fish","EN",2,,,TRUE,
214558,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus mosis","fish","NT",1,,,TRUE,
105802,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon acutus","fish","VU",3,,,TRUE,
217364,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon","Scoliodon laticaudus","fish","NT",3,,,TRUE,
105816,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini","fish","CR",1,,,TRUE,
217426,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus narinari","fish","NT",1,,,TRUE,
278243,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus ocellatus","fish","VU",1,,,TRUE,
278475,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","Aetomylaeus nichofii","fish","VU",1,,,TRUE,
1042823,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","Brevitrygon imbricata","fish",,3,,,TRUE,
1042826,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","Brevitrygon walga","fish","NT",2,,,TRUE,
215609,"Chordata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura","Gymnura japonica","fish",,1,,,TRUE,
215611,"Chordata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura","Gymnura poecilura","fish","NT",3,,,TRUE,
298791,"Chordata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura","Gymnura tentaculata","fish",,1,,,TRUE,
298783,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura fava","fish",,1,,,TRUE,
271458,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura fluviatilis","fish",,1,,,TRUE,
298785,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura marginata","fish",,2,,,TRUE,
105854,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura uarnak","fish","VU",3,,,TRUE,
217413,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura undulata","fish","EN",1,,,TRUE,
