"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",,4192,18,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
149123,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis",,552,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149271,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii",,90,2,,"12S",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",,16735,10,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
163250,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus sinensis",,681,5,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
1288237,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula tsukamotoi",,86,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1590706,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Sundstroemia","Sundstroemia setigera",,29,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149093,"Bacillariophyta","Bacillariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides",,45,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149074,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema costatum",,5882,3,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
148942,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira rotula",,69,2,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
160538,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa",,457182,27,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
266884,"Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Zonosagitta","Zonosagitta bedoti",,600,1,,"COI",FALSE,FALSE,TRUE,,,,"arrow worms"
290630,"Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Paracondylactis","Paracondylactis sinensis",,5,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117269,"Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea conica",,9,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117568,"Cnidaria","Hydrozoa","Limnomedusae","Geryoniidae","Liriope","Liriope tetraphylla",,4,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
220489,"Cnidaria","Scyphozoa","Rhizostomeae","Catostylidae","Acromitus","Acromitus flagellatus",,13,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
220834,"Arthropoda","Copepoda","Calanoida","Calanidae","Canthocalanus","Canthocalanus pauper",,29,2,,"12S;COI",FALSE,FALSE,TRUE,,,,"copepods"
104495,"Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages furcatus",,262,2,,"16S;COI",FALSE,FALSE,TRUE,,,,"copepods"
720587,"Arthropoda","Copepoda","Calanoida","Tortanidae","Tortanus","Tortanus (Tortanus) forcipatus",,20409,5,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
220944,"Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona attenuata",,1367,3,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
106278,"Arthropoda","Branchiopoda","Onychopoda","Podonidae","Pseudevadne","Pseudevadne tergestina",,13,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
210647,"Arthropoda","Malacostraca","Decapoda","Sergestidae","Acetes","Acetes indicus",,70,2,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
444517,"Arthropoda","Malacostraca","Decapoda","Sesarmidae","Episesarma","Episesarma versicolor",,62,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
444960,"Arthropoda","Malacostraca","Decapoda","Macrophthalmidae","Macrophthalmus","Macrophthalmus (Mareotis) tomentosus",,7,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
210396,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus brevicornis",,10,1,,"COI",FALSE,FALSE,TRUE,,,"yellow prawn","crustaceans"
585389,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Mierspenaeopsis","Mierspenaeopsis hardwickii",,12,1,,"COI",FALSE,TRUE,TRUE,,,,"crustaceans"
585386,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Mierspenaeopsis","Mierspenaeopsis sculptilis",,22,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
210375,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus indicus",,54,1,,"COI",FALSE,TRUE,TRUE,,,"Indian white shrimp","crustaceans"
242839,"Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphioplus","Amphioplus (Lymanella) laevis",,134,1,,"16S",FALSE,FALSE,TRUE,,,,"echinoderms"
217364,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon","Scoliodon laticaudus",3,10479,14,,"12S;16S",TRUE,FALSE,TRUE,"NT","NT","spadenose shark","fish"
1042823,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","Brevitrygon imbricata",3,11,1,,"12S",TRUE,FALSE,TRUE,"VU","VU",,"fish"
1042826,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","Brevitrygon walga",2,4592,7,,"12S;16S;COI",TRUE,FALSE,TRUE,"NT","NT",,"fish"
105854,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura uarnak",3,387,2,,"12S",TRUE,FALSE,TRUE,"EN","EN","honeycomb stingray","fish"
217413,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura undulata",1,33,1,,"COI",TRUE,FALSE,TRUE,"EN","EN",,"fish"
280873,"Chordata","Elasmobranchii","Rhinopristiformes","Glaucostegidae","Glaucostegus","Glaucostegus granulatus",3,745,7,,"12S;16S",TRUE,FALSE,TRUE,"CR","CR",,"fish"
1022265,"Chordata","Elasmobranchii","Rhinopristiformes","Glaucostegidae","Glaucostegus","Glaucostegus obtusus",2,9,1,,"COI",TRUE,FALSE,TRUE,"CR","CR",,"fish"
273618,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Leiognathus","Leiognathus brevirostris",2,200,2,,"16S",TRUE,FALSE,TRUE,,,,"fish"
126973,"Chordata","Teleostei","Acanthuriformes","Lobotidae","Lobotes","Lobotes surinamensis",1,259,3,,"12S",TRUE,FALSE,TRUE,"LC","LC","tripletail","fish"
398529,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula blochii",2,181941,21,,"12S;16S",TRUE,FALSE,TRUE,,,,"fish"
398535,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula nuchalis",,137194,11,,"12S",FALSE,FALSE,TRUE,,,,"fish"
276970,"Chordata","Teleostei","Acanthuriformes","Scatophagidae","Scatophagus","Scatophagus argus",6,109464,30,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
271890,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax tile",3,319,2,,"12S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
217593,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Pisodonophis","Pisodonophis boro",11,8071,5,1937,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","rice-paddy eel","fish"
217536,"Chordata","Teleostei","Anguilliformes","Muraenidae","Strophidon","Strophidon sathete",4,3476,10,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","slender giant moray","fish"
217556,"Chordata","Teleostei","Anguilliformes","Congridae","Uroconger","Uroconger lepturus",1,773,1,,"16S",TRUE,FALSE,TRUE,"LC","LC","slender conger","fish"
126331,"Chordata","Teleostei","Atheriniformes","Atherinidae","Atherinomorus","Atherinomorus lacunosus",,35,1,,"12S",FALSE,FALSE,TRUE,"LC","LC","robust silverside","fish"
217661,"Chordata","Teleostei","Aulopiformes","Synodontidae","Harpadon","Harpadon nehereus",3,20218,14,,"12S;16S;COI",TRUE,FALSE,TRUE,"NT","NT","Bombay-duck","fish"
281940,"Chordata","Teleostei","Beloniformes","Adrianichthyidae","Oryzias","Oryzias javanicus",,13810,14,,"12S;16S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
275986,"Chordata","Teleostei","Beloniformes","Belonidae","Strongylura","Strongylura strongylura",2,32480,20,,"12S;16S;COI",TRUE,FALSE,TRUE,,,,"fish"
277911,"Chordata","Teleostei","Beloniformes","Zenarchopteridae","Zenarchopterus","Zenarchopterus buffonis",2,6292,9,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
277915,"Chordata","Teleostei","Beloniformes","Zenarchopteridae","Zenarchopterus","Zenarchopterus ectuntio",2,57,2,,"COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
219282,"Chordata","Teleostei","Blenniiformes","Blenniidae","Entomacrodus","Entomacrodus striatus",,4,1,,"12S",FALSE,FALSE,TRUE,"LC","LC","reef margin blenny","fish"
280639,"Chordata","Teleostei","Carangaria incertae sedis","Polynemidae","Eleutheronema","Eleutheronema tetradactylum",3,33951,5,,"12S",TRUE,TRUE,TRUE,,,"blunt-nosed salmon, barbure à quatre doigts","fish"
278957,"Chordata","Teleostei","Carangaria incertae sedis","Latidae","Lates","Lates calcarifer",3,126457,20,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC","barramundi, perche barramundi","fish"
276918,"Chordata","Teleostei","Carangaria incertae sedis","Polynemidae","Polynemus","Polynemus paradiseus",3,11728,10,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","paradise threadfin, barbure paradis","fish"
283020,"Chordata","Teleostei","Carangaria incertae sedis","Toxotidae","Toxotes","Toxotes chatareus",3,9909,9,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
218349,"Chordata","Teleostei","Centrarchiformes","Terapontidae","Terapon","Terapon theraps",3,17,1,,"COI",TRUE,FALSE,TRUE,"LC","LC","largescaled therapon","fish"
317356,"Chordata","Teleostei","Cichliformes","Cichlidae","Coptodon","Coptodon zillii",,16,1,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
279626,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Anodontostoma","Anodontostoma chacunda",3,421984,60,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
219979,"Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia dussumieri",3,152703,30,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
279085,"Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia ramcarati",5,189493,52,,"12S;16S;COI",TRUE,FALSE,TRUE,"DD","DD",,"fish"
279087,"Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","Coilia reynaldi",2,26581,16,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
280714,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Escualosa","Escualosa thoracata",3,130345,47,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
212278,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Hilsa","Hilsa kelee",5,6872,9,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","Kelee shad","fish"
281160,"Chordata","Teleostei","Clupeiformes","Pristigasteridae","Ilisha","Ilisha elongata",1,5594,8,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","elongate ilisha","fish"
281167,"Chordata","Teleostei","Clupeiformes","Pristigasteridae","Ilisha","Ilisha melastoma",3,84,2,,"12S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
212279,"Chordata","Teleostei","Clupeiformes","Pristigasteridae","Pellona","Pellona ditchela",3,69707,20,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC","Indian pellona","fish"
212268,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Sardinella","Sardinella albella",,4970,2,,"16S",FALSE,FALSE,TRUE,"LC","LC","white sardinella","fish"
282768,"Chordata","Teleostei","Clupeiformes","Engraulidae","Setipinna","Setipinna taty",5,60589,14,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
282769,"Chordata","Teleostei","Clupeiformes","Engraulidae","Setipinna","Setipinna tenuifilis",3,445164,36,,"12S;16S",TRUE,FALSE,TRUE,"DD","DD",,"fish"
275322,"Chordata","Teleostei","Clupeiformes","Engraulidae","Stolephorus","Stolephorus dubiosus",,147357,62,,"12S;16S;COI",FALSE,FALSE,TRUE,"LC","LC",,"fish"
212284,"Chordata","Teleostei","Clupeiformes","Engraulidae","Stolephorus","Stolephorus insularis",,16336,14,,"12S;16S",FALSE,FALSE,TRUE,,,"Hardenberg's anchovy","fish"
278568,"Chordata","Teleostei","Clupeiformes","Dorosomatidae","Tenualosa","Tenualosa ilisha",5,7236,1,,"12S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
275555,"Chordata","Teleostei","Clupeiformes","Engraulidae","Thryssa","Thryssa hamiltonii",3,7814,8,,"12S;16S;COI",TRUE,FALSE,TRUE,"LC","LC",,"fish"
275559,"Chordata","Teleostei","Clupeiformes","Engraulidae","Thryssa","Thryssa mystax",,32,1,,"16S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
1026567,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Bangana","Bangana dero",,1873,2,,"16S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
314143,"Chordata","Teleostei","Cypriniformes","Cyprinidae","Cirrhinus","Cirrhinus mrigala",,1618,2,,"16S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
313008,"Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Acanthopagrus","Acanthopagrus datnia",2,28498,4,,"16S",TRUE,FALSE,TRUE,,,,"fish"
219082,"Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Chlorurus","Chlorurus sordidus",,11,1,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"fish"
280181,"Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Chrysochir","Chrysochir aureus",3,314,5,,"12S;16S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
367242,"Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres","Gerres longirostris",1,9,1,,"12S",TRUE,FALSE,TRUE,"LC","LC",,"fish"
218638,"Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Johnius","Johnius amblycephalus",,1172,3,,"12S;16S",FALSE,FALSE,TRUE,"LC","LC","bearded croaker","fish"
