"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",439,419595,58,1999,"12S;16S;COI",TRUE,TRUE,TRUE,,,,"algae"
149123,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis",986,8696,3,2016,"12S;COI",TRUE,TRUE,TRUE,,,,"algae"
149271,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii",430,300,1,2017,"COI",TRUE,TRUE,TRUE,,,,"algae"
148941,"Bacillariophyta","Bacillariophyceae","Ethmodiscales","Ethmodiscaceae","Ethmodiscus","Ethmodiscus punctiger",1209,6681,5,2017,"16S;COI",TRUE,TRUE,TRUE,,,,"algae"
1669590,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis thurstonii",,356,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",150,3432,6,2013,"16S;COI",TRUE,FALSE,TRUE,,,,"algae"
163243,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia striata",398,6,1,2017,"12S",TRUE,TRUE,TRUE,,,,"algae"
149131,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia zodiacus",888,32,1,2018,"16S",TRUE,TRUE,TRUE,,,,"algae"
149023,"Bacillariophyta","Bacillariophyceae","Lithodesmiales","Lithodesmiaceae","Ditylum","Ditylum brightwellii",1364,1607,2,2018,"COI",TRUE,TRUE,TRUE,,,,"algae"
573483,"Bacillariophyta","Bacillariophyceae","Lithodesmiales","Lithodesmiaceae","Lithodesmioides","Lithodesmioides polymorpha",,8870,8,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
149322,"Bacillariophyta","Bacillariophyceae","Lithodesmiales","Lithodesmiaceae","Lithodesmium","Lithodesmium undulatum",1367,5227,7,2018,"12S;16S",TRUE,TRUE,TRUE,,,,"algae"
149631,"Bacillariophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis turris",231,1600,2,2014,"12S;COI",TRUE,TRUE,TRUE,,,,"algae"
149203,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula cryptocephala",,3,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
175584,"Bacillariophyta","Bacillariophyceae","Naviculales","Phaeodactylaceae","Phaeodactylum","Phaeodactylum tricornutum",,4,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149055,"Bacillariophyta","Bacillariophyceae","Paraliales","Paraliaceae","Paralia","Paralia sulcata",1738,27,1,2018,"COI",TRUE,TRUE,TRUE,,,,"algae"
149114,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Rhizosolenia delicatula",2214,81,3,2018,"12S;16S",TRUE,TRUE,TRUE,,,,"algae"
1590706,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Sundstroemia","Sundstroemia setigera",2274,68168,11,2018,"12S;16S;COI",TRUE,TRUE,TRUE,,,,"algae"
149093,"Bacillariophyta","Bacillariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides",1918,663,2,2018,"COI",TRUE,TRUE,TRUE,,,,"algae"
623754,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Conticribra","Conticribra weissflogii",,2,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
163392,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Microsiphona","Microsiphona potamos",69,667,1,2018,"COI",TRUE,TRUE,TRUE,,,,"algae"
149074,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema costatum",514,93,1,2016,"COI",TRUE,TRUE,TRUE,,,,"algae"
489112,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema dohrnii",,60,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
577909,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Stephanodiscaceae","Stephanodiscus","Stephanodiscus invisitatus",,11,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
148931,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii",434,2625,9,2016,"12S;16S;COI",TRUE,TRUE,TRUE,,,,"algae"
577742,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira profunda",,254,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
148942,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira rotula",699,34907,24,2018,"12S;16S;COI",TRUE,TRUE,TRUE,,,,"algae"
149050,"Bacillariophyta","Bacillariophyceae","Triceratiales","Triceratiaceae","Odontella","Odontella aurita",2324,1655,3,2018,"12S;COI",TRUE,TRUE,TRUE,,,,"algae"
573667,"Bacillariophyta","Bacillariophyceae","Triceratiales","Triceratiaceae","Triceratium","Triceratium intricatum",,31,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",,6,1,,"COI",FALSE,TRUE,TRUE,,,,"algae"
345459,"Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos",,520264,31,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",264,840245,62,2018,"12S;16S;COI",TRUE,TRUE,TRUE,,,,"algae"
134541,"Chlorophyta","Nephroselmidophyceae","Nephroselmidales","Nephroselmidaceae","Nephroselmis","Nephroselmis pyriformis",1,8,1,1994,"COI",TRUE,FALSE,TRUE,,,,"algae"
615536,"Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia aggregata",,24,4,,"COI",FALSE,FALSE,TRUE,,,,"algae"
236056,"Haptophyta","Coccolithophyceae","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa huxleyi",,1885,4,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
160538,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa",,216,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
115106,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis pouchetii",,65,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1310442,"Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Octactis","Octactis speculum",456,20,1,2015,"COI",TRUE,TRUE,TRUE,,,,"algae"
