"AphiaID","phylum","class","order","family","genus","species","group","redlist_category","records","max_year","target_gene","source_obis","source_gbif","source_dna"
105812,"Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus","Galeus melastomus","fish",,,,,FALSE,TRUE,
105814,"Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus canicula","fish",,,,,FALSE,TRUE,
105872,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus oxyrinchus","fish","NT",,,,FALSE,TRUE,
105913,"Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","Etmopterus spinax","fish","VU",,,,FALSE,TRUE,
105923,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","fish","VU",,,,FALSE,TRUE,
105824,"Chordata","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","Chimaera monstrosa","fish","VU",,,,FALSE,TRUE,
126281,"Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","fish","CR",,,,FALSE,TRUE,
126285,"Chordata","Teleostei","Anguilliformes","Congridae","Conger","Conger conger","fish",,,,,FALSE,TRUE,
126715,"Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina silus","fish",,,,,FALSE,TRUE,
126716,"Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina sphyraena","fish",,,,,FALSE,TRUE,
126375,"Chordata","Teleostei","Beloniformes","Belonidae","Belone","Belone belone","fish",,,,,FALSE,TRUE,
126417,"Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","fish",,,,,FALSE,TRUE,
126964,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Ctenolabrus","Ctenolabrus rupestris","fish",,,,,FALSE,TRUE,
126975,"Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus labrax","fish",,,,,FALSE,TRUE,
126965,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus bergylta","fish",,,,,FALSE,TRUE,
151501,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus mixtus","fish",,,,,FALSE,TRUE,
273571,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus melops","fish",,,,,FALSE,TRUE,
126436,"Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","fish","VU",,,,FALSE,TRUE,
126437,"Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","fish","VU",,,,FALSE,TRUE,
