"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",FALSE,,20806,232,,"COI",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",FALSE,,64,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",FALSE,,24173,190,,"12S",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",FALSE,,2431,12,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345459,"Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos",FALSE,,11,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
134563,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Mantoniella","Mantoniella squamata",FALSE,,120,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1361174,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas commoda",FALSE,,1477,4,,"12S",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",FALSE,,255225,26,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
375881,"Chlorophyta","Pyramimonadophyceae","Prasinococcales","Prasinococcaceae","Prasinoderma","Prasinoderma coloniale",FALSE,,194,5,,"COI",FALSE,FALSE,TRUE,,,,"algae"
376073,"Chlorophyta","Pyramimonadophyceae","Pseudoscourfieldiales","Pycnococcaceae","Pycnococcus","Pycnococcus provasolii",FALSE,,9,1,,"16S",FALSE,FALSE,TRUE,,,,"algae"
372309,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea asarifolia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373270,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea digitata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373275,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea levis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
374518,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea longicaulis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373276,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea mazei",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
221177,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea nigricans",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373277,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Avrainvillea silvana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144456,"Chlorophyta","Ulvophyceae","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis pennata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211484,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa ambigua",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
700395,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa chemnitzia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144467,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa cupressoides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211471,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa fastigiata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211472,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa lanuginosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211475,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa lentillifera",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144468,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa mexicana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211489,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa microphysa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211486,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa occidentalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373269,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa paspaloides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144471,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa prolifera",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144472,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa racemosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
381787,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa racemosa var. macrophysa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211485,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa serrulata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144474,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa sertularioides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144476,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa taxifolia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211483,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa verticillata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144477,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa webbiana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373280,"Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Cladocephalus","Cladocephalus luteofuscus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
