"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
837690,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia circumpora",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
370512,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia cuspidata",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
156548,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia pseudodelicatissima",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1307191,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia sabit",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
418221,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia subfraudulenta",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
418222,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia subpacifica",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",,,"12S",FALSE,FALSE,TRUE,,,,"algae"
609925,"Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Pinnularia","Pinnularia acrosphaeria",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149093,"Bacillariophyta","Bacillariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
376361,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema menzelii",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
345463,"Chlorophyta","Mamiellophyceae","Dolichomastigales","Dolichomastigaceae","Dolichomastix","Dolichomastix tenuilepis",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
134564,"Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
700395,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa chemnitzia",,,,FALSE,TRUE,FALSE,,,,"algae"
144472,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa racemosa",,,,FALSE,TRUE,FALSE,,,,"algae"
211485,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa serrulata",,,,FALSE,TRUE,FALSE,,,,"algae"
144474,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa sertularioides",,,,FALSE,TRUE,FALSE,,,,"algae"
160538,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1358375,"Haptophyta","Coccolithophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina tobinii",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
375970,"Ochrophyta","Dictyochophyceae","Dictyochales","Dictyochaceae","Octactis","Octactis octonaria",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
531467,"Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales incertae sedis","Pseudochattonella","Pseudochattonella farcimen",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
145370,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota humifusa",,,,FALSE,TRUE,FALSE,,,,"algae"
145857,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia sinuosa",,,,FALSE,TRUE,FALSE,,,,"algae"
1361131,"Ochrophyta","Phaeophyceae","Ectocarpales","Mesosporaceae","Mesospora","Mesospora indopacifica",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
233780,"Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Chattonella","Chattonella marina",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
246590,"Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Chattonella","Chattonella subsalsa",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
211768,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Acanthophora","Acanthophora spicifera",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
214222,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Herposiphonia","Herposiphonia secunda",,,,FALSE,TRUE,FALSE,,,,"algae"
1359634,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Melanothamnus","Melanothamnus ramireziae",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
213893,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Lithophyllum","Lithophyllum prototypum",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
239328,"Rhodophyta","Florideophyceae","Corallinales","Spongitaceae","Neogoniolithon","Neogoniolithon fosliei",,,,FALSE,TRUE,FALSE,,,,"algae"
374576,"Rhodophyta","Florideophyceae","Gelidiales","Pterocladiaceae","Pterocladiella","Pterocladiella caerulescens",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
145739,"Rhodophyta","Florideophyceae","Nemaliales","Galaxauraceae","Galaxaura","Galaxaura rugosa",,,,FALSE,TRUE,FALSE,,,,"algae"
708100,"Rhodophyta","Florideophyceae","Rhodachlyales","Rhodachlyaceae","Rhodachlya","Rhodachlya hawaiiana",,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1432725,"Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella marina",,,,FALSE,TRUE,FALSE,"LC","LC","cane toad","amphibians"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
159081,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius",,,,FALSE,TRUE,FALSE,"LC","LC","spotted sandpiper, chevalier grivelé","birds"
212629,"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous stolidus",,,,FALSE,TRUE,FALSE,"LC","LC","common noddy, Noddi brun","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,,FALSE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
159084,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",,,,FALSE,TRUE,FALSE,"LC","LC","sanderling, bécasseau sanderling","birds"
147433,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",,,,FALSE,TRUE,FALSE,"NT","NT","red knot, bécasseau maubèche","birds"
159051,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris himantopus",,,,FALSE,TRUE,FALSE,"LC","LC","stilt sandpiper, Bécasseau à échasses","birds"
366588,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris mauri",,,,FALSE,TRUE,FALSE,"LC","LC","western sandpiper, bécasseau d'Alaska","birds"
159053,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris melanotos",,,,FALSE,TRUE,FALSE,"LC","LC","pectoral sandpiper, bécasseau de tacheté","birds"
159054,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minutilla",,,,FALSE,TRUE,FALSE,"LC","LC","least sandpiper","birds"
159055,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pusilla",,,,FALSE,TRUE,FALSE,"NT","NT","Semipalmated Sandpiper","birds"
366857,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius collaris",,,,FALSE,TRUE,FALSE,"LC","LC","collared plover, Pluvier d'Azara","birds"
159126,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius semipalmatus",,,,FALSE,TRUE,FALSE,"LC","LC","semipalmated plover,   pluvier semipalmé","birds"
366844,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius wilsonia",,,,FALSE,TRUE,FALSE,"LC","LC","Wilson's plover, pluvier de Wilson","birds"
137137,"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias niger",,,,FALSE,TRUE,FALSE,"LC","LC","black tern, guifette noire","birds"
344611,"Chordata","Aves","Charadriiformes","Laridae","Creagrus","Creagrus furcatus",,,,FALSE,TRUE,FALSE,"LC","LC","swallow-tailed gull,  mouette à queue fourchue","birds"
148798,"Chordata","Aves","Charadriiformes","Laridae","Gelochelidon","Gelochelidon nilotica",,,,FALSE,TRUE,FALSE,"LC","LC","gull-billed tern","birds"
344045,"Chordata","Aves","Charadriiformes","Laridae","Gygis","Gygis alba",,,,FALSE,TRUE,FALSE,"LC","LC","common white-tern, gygis blanche","birds"
159128,"Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus palliatus",,,,FALSE,TRUE,FALSE,"LC","LC","American oystercatcher, huîtrier d'Amérique","birds"
567825,"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",,,,FALSE,TRUE,FALSE,"LC","LC","Caspian tern","birds"
344082,"Chordata","Aves","Charadriiformes","Laridae","Larosterna","Larosterna inca",,,,FALSE,TRUE,FALSE,"NT","NT","Inca tern, sterne Inca","birds"
159074,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus atricilla",,,,FALSE,TRUE,FALSE,"LC","LC","laughing gull, mouette atricille","birds"
148797,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus delawarensis",,,,FALSE,TRUE,FALSE,"LC","LC","ring-billed gull, goéland à bec cerclé","birds"
137142,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus",,,,FALSE,TRUE,FALSE,"LC","LC","lesser black-backed gull, goéland de la Balqitue","birds"
159077,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus pipixcan",,,,FALSE,TRUE,FALSE,"LC","LC","Franklin's gull, mouette de Franklin","birds"
158955,"Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","Limnodromus griseus",,,,FALSE,TRUE,FALSE,"LC","LC","short-billed dowitcher, bécassin à bec court","birds"
158957,"Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","Limnodromus scolopaceus",,,,FALSE,TRUE,FALSE,"LC","LC","long-billed dowitcher, bécassin à long bec","birds"
159040,"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus",,,,FALSE,TRUE,FALSE,"LC","LC","whimbrel, courlis corllieu","birds"
567792,"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion anaethetus",,,,FALSE,TRUE,FALSE,"LC","LC","bridled tern","birds"
567827,"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion fuscatus",,,,FALSE,TRUE,FALSE,"LC","LC","sooty tern","birds"
137169,"Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","Phalaropus lobatus",,,,FALSE,TRUE,FALSE,"LC","LC","red-necked phalarope, phalarope à bec mince","birds"
159043,"Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","Phalaropus tricolor",,,,FALSE,TRUE,FALSE,,,"Wilson's phalarope, phalarope de Wilson","birds"
159136,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis dominica",,,,FALSE,TRUE,FALSE,"LC","LC","American golden plover, pluvier bronzé","birds"
