"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
212603,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",,,,FALSE,TRUE,FALSE,"LC","LC","common sandpiper, chevalier guignette","birds"
344003,"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous minutus",,,,FALSE,TRUE,FALSE,"LC","LC","black noddy,  Noddi noir","birds"
212629,"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous stolidus",,,,FALSE,TRUE,FALSE,"LC","LC","common noddy, Noddi brun","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,,FALSE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
567792,"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion anaethetus",,,,FALSE,TRUE,FALSE,"LC","LC","bridled tern","birds"
567827,"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion fuscatus",,,,FALSE,TRUE,FALSE,"LC","LC","sooty tern","birds"
232044,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis fulva",,,,FALSE,TRUE,FALSE,"LC","LC","Pacific golden plover  , pluvier fauve","birds"
137171,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius longicaudus",,,,FALSE,TRUE,FALSE,"LC","LC","long-tailed jaeger, labbe à longue queue","birds"
137172,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus",,,,FALSE,TRUE,FALSE,"LC","LC","parasitic jaeger, labbe parasite","birds"
212606,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna bergii",,,,FALSE,TRUE,FALSE,,,"greater crested tern, Sterne huppée","birds"
212608,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna sumatrana",,,,FALSE,TRUE,FALSE,"LC","LC","black-naped tern, sterne diamant","birds"
567469,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa brevipes",,,,FALSE,TRUE,FALSE,"NT","NT","grey-tailed tattler, chevalier de Sibérie","birds"
567470,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa incana",,,,FALSE,TRUE,FALSE,"LC","LC","wandering tattler, chevalier errant","birds"
446493,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta sacra",,,,FALSE,TRUE,FALSE,"LC","LC","blue reef heron, aigrette sacrée","birds"
212673,"Chordata","Aves","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus",,,,FALSE,TRUE,FALSE,"LC","LC","African sacred ibis,  ibis sacré","birds"
567851,"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus chloris",,,,FALSE,TRUE,FALSE,"LC","LC","collared kingfisher, Martin-chasseur à collier blanc","birds"
343997,"Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata andrewsi",,,,FALSE,TRUE,FALSE,"VU","VU","Christmas frigatebird, frégate d'Andrews","birds"
212655,"Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata ariel",,,,FALSE,TRUE,FALSE,"LC","LC","lesser frigatebird, frégate ariel","birds"
212654,"Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata minor",,,,FALSE,TRUE,FALSE,"LC","LC","great frigatebird, frégate du Pacifique","birds"
137179,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo",,,,FALSE,TRUE,FALSE,"LC","LC","great cormorant, grand cormoran","birds"
225983,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax melanoleucos",,,,FALSE,TRUE,FALSE,,,"little pied cormorant, Cormoran pie","birds"
212599,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula dactylatra",,,,FALSE,TRUE,FALSE,"LC","LC","blue-faced booby, Fou masqué","birds"
212597,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula leucogaster",,,,FALSE,TRUE,FALSE,"LC","LC","brown booby, fou brun","birds"
212596,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula sula",,,,FALSE,TRUE,FALSE,"LC","LC","red-footed booby, fou à pieds rouges","birds"
212635,"Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus carneipes",,,,FALSE,TRUE,FALSE,,,"pale-footed shearwater, Puffin à pieds pâles","birds"
212634,"Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus pacificus",,,,FALSE,TRUE,FALSE,,,"wedge-tailed shearwater, puffin fouquet","birds"
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","convict surgeonfish","fish"
217479,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax buroensis",2,1933,,TRUE,FALSE,FALSE,"LC","LC","vagrant moray","fish"
217884,"Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina barnesi",4,1965,,TRUE,TRUE,FALSE,,,"Barnes' silverside","fish"
217670,"Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus variegatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","common lizardfish","fish"
158884,"Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops",2,1933,,TRUE,FALSE,FALSE,"LC","LC","snakefish","fish"
278734,"Chordata","Teleostei","Beloniformes","Exocoetidae","Cypselurus","Cypselurus opisthopus",2,1933,,TRUE,FALSE,FALSE,,,,"fish"
219242,"Chordata","Teleostei","Blenniiformes","Blenniidae","Aspidontus","Aspidontus taeniatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","mimic blenny","fish"
219250,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella cyanostigma",1,1953,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219249,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella periophthalmus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","blue-dashed rockskipper","fish"
277319,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius minutus",1,1953,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219294,"Chordata","Teleostei","Blenniiformes","Blenniidae","Istiblennius","Istiblennius edentulus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","rockskipper","fish"
282328,"Chordata","Teleostei","Blenniiformes","Blenniidae","Praealticus","Praealticus bilineatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219344,"Chordata","Teleostei","Blenniiformes","Blenniidae","Xiphasia","Xiphasia matsubarai",2,1965,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
218419,"Chordata","Teleostei","Carangiformes","Carangidae","Caranx","Caranx melampygus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","bluefin trevally","fish"
126845,"Chordata","Teleostei","Carangiformes","Coryphaenidae","Coryphaena","Coryphaena equiselis",2,1933,,TRUE,FALSE,FALSE,"LC","LC","pompano dolphin","fish"
712905,"Chordata","Teleostei","Carangiformes","Istiophoridae","Istiompax","Istiompax indica",4,2015,,TRUE,FALSE,FALSE,"DD","DD",,"fish"
159646,"Chordata","Teleostei","Carangiformes","Carangidae","Selar","Selar crumenophthalmus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","bigeye scad","fish"
126424,"Chordata","Teleostei","Clupeiformes","Spratelloididae","Spratelloides","Spratelloides delicatulus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","delicate round herring","fish"
218523,"Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres","Gerres macracanthus",1,1933,,TRUE,FALSE,FALSE,,,,"fish"
273768,"Chordata","Teleostei","Eupercaria incertae sedis","Priacanthidae","Priacanthus","Priacanthus tayenus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
212213,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Thalassoma","Thalassoma purpureum",1,1953,,TRUE,FALSE,FALSE,"LC","LC","surge wrasse","fish"
