"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
614359,"Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes adnata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149387,"Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes brevipes",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
699689,"Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes naviformis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
179547,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis californica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
163856,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis costata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
839086,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis germainii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
148990,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis placentula",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149376,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis scutellum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1037217,"Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis subantarctica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656299,"Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Planothidium","Planothidium hauckianum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
620518,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asterolampra","Asterolampra insignis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
248070,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asterolampra","Asterolampra marylandica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656594,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus concavus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656595,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus inaequabilis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656597,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus oligocenicus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656599,"Bacillariophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus symmetricus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",FALSE,,2445,8,,"COI",FALSE,FALSE,TRUE,,,,"algae"
642802,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Denticulopsis","Denticulopsis maccollumii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
341554,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis curta",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
341560,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis ritscheri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
341561,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis separanda",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149045,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149586,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia commutata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
248138,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia cylindrus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149608,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia filiformis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
175404,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia frustulum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
418205,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia marina",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149601,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia palea",FALSE,,6,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
696102,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia palea var. fonticola",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
842057,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia porteri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
549215,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia tubicola",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
635117,"Bacillariophyta","Bacillariophyceae","Biddulphiales","Biddulphiaceae","Biddulphia","Biddulphia deodora",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
464444,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Attheyaceae","Attheya","Attheya longicornis",FALSE,,16,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149110,"Bacillariophyta","Bacillariophyceae","Corethrales","Corethraceae","Corethron","Corethron criophilum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
341496,"Bacillariophyta","Bacillariophyceae","Corethrales","Corethraceae","Corethron","Corethron pennatum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
345847,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus curvatulus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
577848,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus ingens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
645621,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus ochotensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
162770,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus octonarius var. octonarius",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
645680,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus oculatus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
162810,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus senarius",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
648568,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Cestodiscus","Cestodiscus pulchellus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
961735,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Cestodiscus","Cestodiscus pulchellus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
962030,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Cestodiscus","Cestodiscus pulchellus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
961715,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Cestodiscus","Cestodiscus rhombicus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1322663,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Charcotiella","Charcotiella grunowii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
573406,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus actinochilus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149274,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus asteromphalus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
148992,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus concinnus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149266,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus curvatulus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
640564,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus intersectus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
179607,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus janischii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
656858,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus kolbei",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
977638,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus lentiginosus var. lentiginosus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
156629,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus marginatus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
573435,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus rex",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
649724,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus rhombicus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
975030,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus tabularis var. tabularis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
614145,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Craspedodiscus","Craspedodiscus coscinodiscus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
961796,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Craspedodiscus","Craspedodiscus coscinodiscus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
180367,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Hemidiscus","Hemidiscus cuneiformis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
840584,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Hemidiscus","Hemidiscus karstenii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
613668,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Rocellaceae","Rocella","Rocella vigilans",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
172266,"Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella minuta",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149557,"Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","Gomphonema parvulum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
163922,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Ctenophora","Ctenophora pulchella",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149364,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Fragilaria construens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
968692,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Grammonema","Grammonema striatula",FALSE,,7,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
593831,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Opephora","Opephora gemmata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
662589,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Opephora","Opephora naveana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1369730,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Sarcophagodes","Sarcophagodes poulinii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
175961,"Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Staurosirella","Staurosirella pinnata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1474751,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Fennerbicornis","Fennerbicornis incisus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
629066,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus altus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
634673,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus danicus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
657329,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus inaequilaterus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
704397,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus polycystinorum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
647796,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus polymorphus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
648742,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus pungens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149060,"Bacillariophyta","Bacillariophyceae","Melosirales","Hyalodiscaceae","Podosira","Podosira stelligera",FALSE,,119,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
630599,"Bacillariophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis barbadensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
636427,"Bacillariophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis eocaenica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149631,"Bacillariophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis turris",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
163775,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Caloneis","Caloneis bacillum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
179514,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Caloneis","Caloneis ventricosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
390226,"Bacillariophyta","Bacillariophyceae","Naviculales","Amphipleuraceae","Frustulia","Frustulia lebouvieri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
172442,"Bacillariophyta","Bacillariophyceae","Naviculales","Amphipleuraceae","Frustulia","Frustulia rhomboides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
156948,"Bacillariophyta","Bacillariophyceae","Naviculales","Amphipleuraceae","Frustulia","Frustulia vulgaris",FALSE,,3,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1259744,"Bacillariophyta","Bacillariophyceae","Naviculales","Amphipleuraceae","Halamphora","Halamphora calidilacuna",FALSE,,9,1,,"16S",FALSE,FALSE,TRUE,,,,"algae"
1057122,"Bacillariophyta","Bacillariophyceae","Naviculales","Diadesmidaceae","Luticola","Luticola ivetana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1057123,"Bacillariophyta","Bacillariophyceae","Naviculales","Diadesmidaceae","Luticola","Luticola vancampiana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841774,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula australoceanica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841775,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula concordia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841776,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula criophiliforma",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
149203,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula cryptocephala",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841777,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula fabiformis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
341548,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula glaciei",FALSE,,20,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
172799,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula gregaria",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841778,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula irminiae",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
172829,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula minima",FALSE,,505187,183,,"12S",FALSE,FALSE,TRUE,,,,"algae"
841772,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula papilioarea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
172731,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula perminuta",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
841773,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula szlachetkoi",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
175328,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula veneta",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
