"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",,,,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
212603,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",,,,,,FALSE,TRUE,FALSE,"LC","LC","common sandpiper, chevalier guignette","birds"
212661,"Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","Butorides striata",,,,,,FALSE,TRUE,FALSE,"LC","LC","green-backed heron, héron strié","birds"
446493,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta sacra",,,,,,FALSE,TRUE,FALSE,"LC","LC","blue reef heron, aigrette sacrée","birds"
1393184,"Cnidaria","Scyphozoa","Rhizostomeae","Versurigidae","Versuriga","Versuriga anadyomene",,,,,,FALSE,TRUE,FALSE,,,,"cnidarians"
1289433,"Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora chinensis",,,,,,FALSE,TRUE,FALSE,,,,"cnidarians"
554830,"Arthropoda","Malacostraca","Amphipoda","Seborgiidae","Seborgia","Seborgia vietnamica",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
217364,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon","Scoliodon laticaudus",1,,,,,TRUE,FALSE,FALSE,"NT","NT","spadenose shark","fish"
1042846,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon bennettii",2,,,,,TRUE,FALSE,FALSE,,,,"fish"
1013687,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Telatrygon","Telatrygon zugei",1,,,,,TRUE,FALSE,FALSE,"VU","VU",,"fish"
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","threadfin butterflyfish","fish"
273328,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon baronessa",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
218734,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lineolatus",1,,,,,TRUE,FALSE,FALSE,"LC","LC","lined butterflyfish","fish"
218746,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon octofasciatus",3,,,2002,,TRUE,TRUE,FALSE,"LC","LC","eightband butterflyfish","fish"
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis",1,,,2002,,TRUE,TRUE,FALSE,"NT","NT","chevron butterflyfish","fish"
273366,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon wiebeli",4,,,2002,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
218758,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chelmon","Chelmon rostratus",4,,,2002,,TRUE,TRUE,FALSE,"LC","LC","copperband butterflyfish","fish"
1524092,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Deveximentum","Deveximentum megalolepis",9,,,,,TRUE,FALSE,FALSE,,,,"fish"
218759,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger longirostris",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","longnose butterflyfish","fish"
218462,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Leiognathus","Leiognathus berbis",2,,,2002,,TRUE,TRUE,FALSE,,,"Berber ponyfish","fish"
398531,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula gerreoides",3,,,,,TRUE,FALSE,FALSE,,,,"fish"
398533,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula longicornis",2,,,,,TRUE,FALSE,FALSE,,,,"fish"
398535,"Chordata","Teleostei","Acanthuriformes","Leiognathidae","Nuchequula","Nuchequula nuchalis",7,,,2002,,TRUE,TRUE,FALSE,,,,"fish"
218711,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax orbicularis",2,,,,,TRUE,FALSE,FALSE,"LC","LC","circular spadefish","fish"
276970,"Chordata","Teleostei","Acanthuriformes","Scatophagidae","Scatophagus","Scatophagus argus",2,,,2002,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
219686,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus argenteus",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","forktail rabbitfish","fish"
219687,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus canaliculatus",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","white-spotted spinefoot","fish"
273912,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus fuscescens",12,,,2002,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
273913,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus guttatus",1,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
220048,"Chordata","Teleostei","Acropomatiformes","Acropomatidae","Acropoma","Acropoma japonicum",1,,,,,TRUE,FALSE,FALSE,,,"glow-belly","fish"
277063,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris nyctereutes",1,,,,,TRUE,FALSE,FALSE,,,,"fish"
271853,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax minor",1,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
271881,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax reevesii",3,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
217508,"Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax undulatus",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","undulated moray","fish"
126296,"Chordata","Teleostei","Anguilliformes","Muraenesocidae","Muraenesox","Muraenesox cinereus",3,,,1995,,TRUE,TRUE,FALSE,"LC","LC","daggertooth pike conger","fish"
217594,"Chordata","Teleostei","Anguilliformes","Ophichthidae","Pisodonophis","Pisodonophis cancrivorus",2,,,,,TRUE,FALSE,FALSE,"LC","LC","longfin snake-eel","fish"
217556,"Chordata","Teleostei","Anguilliformes","Congridae","Uroconger","Uroconger lepturus",10,,,,,TRUE,FALSE,FALSE,"LC","LC","slender conger","fish"
217883,"Chordata","Teleostei","Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina temminckii",1,,,2002,,TRUE,TRUE,FALSE,,,"Samoan silverside","fish"
217661,"Chordata","Teleostei","Aulopiformes","Synodontidae","Harpadon","Harpadon nehereus",2,,,,,TRUE,FALSE,FALSE,"NT","NT","Bombay-duck","fish"
272108,"Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida argentea",24,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
217663,"Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida tumbil",7,,,,,TRUE,FALSE,FALSE,"LC","LC","greater lizardfish","fish"
272120,"Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida umeyoshii",12,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
217668,"Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus hoshinonis",4,,,,,TRUE,FALSE,FALSE,"LC","LC","blackear lizardfish","fish"
217670,"Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","Synodus variegatus",1,,,,,TRUE,FALSE,FALSE,"LC","LC","common lizardfish","fish"
158884,"Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops",1,,,2002,,TRUE,TRUE,FALSE,"LC","LC","snakefish","fish"
308682,"Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus trachinus",3,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
126389,"Chordata","Teleostei","Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus far",1,,,,,TRUE,FALSE,FALSE,,,"spotted halfbeak","fish"
272185,"Chordata","Teleostei","Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus limbatus",4,,,,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
