"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
549192,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros dicladia",,,,FALSE,TRUE,FALSE,,,,"algae"
376341,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva hookeriana",,,,FALSE,TRUE,FALSE,,,,"algae"
373370,"Ochrophyta","Phaeophyceae","Fucales","Durvillaeaceae","Durvillaea","Durvillaea antarctica",,,,FALSE,TRUE,FALSE,,,,"algae"
145724,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria digitata",2,1990,,TRUE,FALSE,FALSE,,,,"algae"
373468,"Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Lessonia","Lessonia brevifolia",,,,FALSE,TRUE,FALSE,,,,"algae"
499773,"Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Lessonia","Lessonia flavicans",,,,FALSE,TRUE,FALSE,,,,"algae"
626037,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Pyropia","Pyropia columbina",,,,FALSE,TRUE,FALSE,,,,"algae"
214079,"Rhodophyta","Florideophyceae","Balliales","Balliaceae","Ballia","Ballia callitricha",,,,FALSE,TRUE,FALSE,,,,"algae"
325495,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Delisea","Delisea pulchra",,,,FALSE,TRUE,FALSE,,,,"algae"
373645,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Bostrychia","Bostrychia vaga",,,,FALSE,TRUE,FALSE,,,,"algae"
373644,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Schizoseris","Schizoseris condensata",,,,FALSE,TRUE,FALSE,,,,"algae"
371618,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Schizoseris","Schizoseris dichotoma",,,,FALSE,TRUE,FALSE,,,,"algae"
325421,"Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Acanthococcus","Acanthococcus antarcticus",,,,FALSE,TRUE,FALSE,,,,"algae"
325522,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Iridaea","Iridaea cordata",1,,,TRUE,TRUE,FALSE,,,,"algae"
373489,"Rhodophyta","Florideophyceae","Nemaliales","Scinaiaceae","Nothogenia","Nothogenia fastigiata",,,,FALSE,TRUE,FALSE,,,,"algae"
325542,"Rhodophyta","Florideophyceae","Palmariales","Palmariaceae","Palmaria","Palmaria decipiens",,,,FALSE,TRUE,FALSE,,,,"algae"
325541,"Rhodophyta","Florideophyceae","Palmariales","Palmariaceae","Palmaria","Palmaria georgica",,,,FALSE,TRUE,FALSE,,,,"algae"
325552,"Rhodophyta","Florideophyceae","Plocamiales","Plocamiaceae","Plocamium","Plocamium hookeri",,,,FALSE,TRUE,FALSE,,,,"algae"
225778,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas eatoni",,,,FALSE,TRUE,FALSE,"VU","VU","Eaton's pintail, canard d'Eaton","birds"
225982,"Chordata","Aves","Charadriiformes","Chionidae","Chionis","Chionis minor",4,2005,,TRUE,TRUE,FALSE,"LC","LC","black-faced sheathbill, Petit Chionis","birds"
212624,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus dominicanus",17,2016,,TRUE,TRUE,FALSE,"LC","LC","kelp gull, goéland dominicain","birds"
567471,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius antarcticus",153,2016,,TRUE,TRUE,FALSE,,,"brown skua, labbe antarctique","birds"
422607,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius maccormicki",5,1949,,TRUE,TRUE,FALSE,,,"South Polar skua, labbe de McCormick","birds"
137174,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius skua",232,1955,,TRUE,TRUE,FALSE,,,"great skua, stercoraire brun","birds"
137165,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea",,,,FALSE,TRUE,FALSE,"LC","LC","Arctic tern, sterne à longue queue","birds"
225766,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna vittata",18,2016,,TRUE,TRUE,FALSE,"LC","LC","Antarctic tern, Sterne couronnée","birds"
1603882,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Leucocarbo","Leucocarbo atriceps",,,,FALSE,TRUE,FALSE,"LC","LC",,"birds"
225759,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax atriceps",23,1997,,TRUE,FALSE,FALSE,,,"imperial shag, Cormoran impérial","birds"
226011,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax atriceps",37,2016,,TRUE,FALSE,FALSE,,,"heard shag","birds"
344020,"Chordata","Aves","Procellariiformes","Procellariidae","Aphrodroma","Aphrodroma brevirostris",27,2016,,TRUE,TRUE,FALSE,"LC","LC","Kerguelen petrel, pétrel de Kerguelen","birds"
212640,"Chordata","Aves","Procellariiformes","Procellariidae","Daption","Daption capense",817,2016,,TRUE,TRUE,FALSE,"LC","LC","Cape petrel, damier du Cap","birds"
344000,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea epomophora",13,2016,,TRUE,TRUE,FALSE,"VU","VU","southern royal albatross, albatros royal","birds"
212583,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea exulans",143,2016,,TRUE,TRUE,FALSE,"VU","VU","wandering albatross, albatros hurleur","birds"
212695,"Chordata","Aves","Procellariiformes","Hydrobatidae","Fregetta","Fregetta grallaria",1,1985,,TRUE,TRUE,FALSE,"LC","LC","white-bellied storm petrel, océanite à ventre blanc","birds"
212696,"Chordata","Aves","Procellariiformes","Hydrobatidae","Fregetta","Fregetta tropica",7,2016,,TRUE,TRUE,FALSE,"LC","LC","black-bellied storm-petrel, océanite à ventre noir","birds"
212638,"Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","Fulmarus glacialoides",30,2005,,TRUE,TRUE,FALSE,"LC","LC","southern fulmar, fulmar argenté","birds"
293022,"Chordata","Aves","Procellariiformes","Hydrobatidae","Garrodia","Garrodia nereis",,,,FALSE,TRUE,FALSE,"LC","LC","grey-backed storm petrel, Océanite néréide","birds"
212645,"Chordata","Aves","Procellariiformes","Procellariidae","Halobaena","Halobaena caerulea",58,2016,,TRUE,TRUE,FALSE,"LC","LC","blue petrel, prion bleu","birds"
212636,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes giganteus",2520,2016,,TRUE,TRUE,FALSE,"LC","LC","southern giant petrel, pétrel géant","birds"
212637,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes halli",89,2016,,TRUE,TRUE,FALSE,"LC","LC","northern giant petrel, pétrel de Hall","birds"
137190,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanites","Oceanites oceanicus",616,2016,,TRUE,TRUE,FALSE,"LC","LC","Wilson's storm petrel, océanite de Wilson","birds"
212646,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila belcheri",13,2016,,TRUE,TRUE,FALSE,"LC","LC","slender-billed prion, prion de belcher","birds"
212649,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila desolata",220,2004,,TRUE,TRUE,FALSE,"LC","LC","Antarctic prion","birds"
225961,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila salvini",34,1997,,TRUE,TRUE,FALSE,"LC","LC","Salvin's prion, prion de salvin","birds"
212648,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila turtur",161,2016,,TRUE,TRUE,FALSE,"LC","LC","fairy prion, prion colombe","birds"
212647,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila vittata",,,,FALSE,TRUE,FALSE,"LC","LC","broad-billed prion, prion de Forster","birds"
225780,"Chordata","Aves","Procellariiformes","Pelecanoididae","Pelecanoides","Pelecanoides georgicus",173,2016,,TRUE,TRUE,FALSE,"LC","LC","South Georgian diving-petrel, puffinure de Géorgie du Sud","birds"
344007,"Chordata","Aves","Procellariiformes","Pelecanoididae","Pelecanoides","Pelecanoides urinatrix",130,2016,,TRUE,TRUE,FALSE,"LC","LC","comma diving-petrel, puffinure plongeur","birds"
212632,"Chordata","Aves","Procellariiformes","Diomedeidae","Phoebetria","Phoebetria fusca",,,,FALSE,TRUE,FALSE,"EN","EN","sooty albatross, albatros brun","birds"
212631,"Chordata","Aves","Procellariiformes","Diomedeidae","Phoebetria","Phoebetria palpebrata",872,2016,,TRUE,TRUE,FALSE,"NT","NT","light-mantled sooty albatross, albatros fuligineux","birds"
212651,"Chordata","Aves","Procellariiformes","Procellariidae","Procellaria","Procellaria aequinoctialis",270,2016,,TRUE,TRUE,FALSE,"VU","VU","white-chinned petrel, puffin à menton blanc","birds"
212652,"Chordata","Aves","Procellariiformes","Procellariidae","Procellaria","Procellaria cinerea",4,2016,,TRUE,TRUE,FALSE,"NT","NT","grey petrel, puffin gris","birds"
225761,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma inexpectata",,,,FALSE,TRUE,FALSE,"NT","NT","Peale's petrel, Pétrel maculé","birds"
212642,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma lessonii",17,2016,,TRUE,TRUE,FALSE,"LC","LC","white-headed petrel, Pétrel de Lesson","birds"
212644,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma macroptera",2,1992,,TRUE,TRUE,FALSE,"LC","LC","great-winged petrel, pétrel noir","birds"
137199,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma mollis",13,2016,,TRUE,TRUE,FALSE,"LC","LC","soft-plumaged petrel, Pétrel soyeux","birds"
137202,"Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus griseus",4,2016,,TRUE,TRUE,FALSE,,,"sooty shearwater, puffin fuligineux","birds"
225758,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche carteri",1,1992,,TRUE,TRUE,FALSE,"EN","EN","Indian yellow-nosed albatross, Albatros de l'océan indien","birds"
159069,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche chlororhynchos",,,,FALSE,TRUE,FALSE,"EN","EN","yellow-nosed albatross, albatros à nez jaune","birds"
225760,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche chrysostoma",11,2016,,TRUE,TRUE,FALSE,"EN","EN","grey-headed albatross, albatros à tête grise","birds"
343995,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche melanophris",5940,2016,,TRUE,TRUE,FALSE,"LC","LC","black-browed albatross","birds"
212639,"Chordata","Aves","Procellariiformes","Procellariidae","Thalassoica","Thalassoica antarctica",7,1990,,TRUE,TRUE,FALSE,"LC","LC","Antarctic petrel, Pétrel antarctique","birds"
212656,"Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus",5399,2016,,TRUE,TRUE,FALSE,"LC","LC","king penguin, manchot royal","birds"
212657,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes chrysocome",95,2016,,TRUE,TRUE,FALSE,"VU","VU","western rockhopper penguin, gorfou sauteur","birds"
212658,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes chrysolophus",7240,2016,,TRUE,TRUE,FALSE,"VU","VU","Macaroni penguin, gorfou doré","birds"
1348499,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes filholi",,,,FALSE,TRUE,FALSE,,,"Southern rockhopper penguin, Gorfou de Filhol","birds"
225926,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes schlegeli",24,1986,,TRUE,TRUE,FALSE,"LC","LC","royal penguin, gorfou de Schlegel","birds"
225987,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes sclateri",,,,FALSE,TRUE,FALSE,"EN","EN","erect-crested penguin, gorfou huppé","birds"
225783,"Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis antarcticus",1,1949,,TRUE,TRUE,FALSE,"LC","LC","chinstrap penguin, manchot à jugulaire","birds"
225777,"Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis papua",55,2016,,TRUE,TRUE,FALSE,"LC","LC","gentoo penguin, Manchot papou","birds"
104688,"Arthropoda","Copepoda","Calanoida","Phaennidae","Cephalophanes","Cephalophanes frigidus",1,1971,,TRUE,FALSE,FALSE,,,,"copepods"
342448,"Arthropoda","Copepoda","Calanoida","Phaennidae","Cornucalanus","Cornucalanus robustus",1,1971,,TRUE,FALSE,FALSE,,,,"copepods"
104794,"Arthropoda","Copepoda","Calanoida","Scolecitrichidae","Scaphocalanus","Scaphocalanus elongatus",1,1971,,TRUE,FALSE,FALSE,,,,"copepods"
357792,"Arthropoda","Copepoda","Cyclopoida","Chondracanthidae","Chondracanthodes","Chondracanthodes tuberofurcatus",1,,,TRUE,FALSE,FALSE,,,,"copepods"
358314,"Arthropoda","Copepoda","Cyclopoida","Chondracanthidae","Diocus","Diocus semilunaris",1,,,TRUE,FALSE,FALSE,,,,"copepods"
135842,"Arthropoda","Copepoda","Siphonostomatoida","Lernaeopodidae","Clavella","Clavella adunca",1,,,TRUE,FALSE,FALSE,,,,"copepods"
358506,"Arthropoda","Copepoda","Siphonostomatoida","Lernaeopodidae","Eubrachiella","Eubrachiella antarctica",1,,,TRUE,FALSE,FALSE,,,,"copepods"
363301,"Arthropoda","Copepoda","Siphonostomatoida","Lernaeopodidae","Eubrachiella","Eubrachiella gaini",1,,,TRUE,FALSE,FALSE,,,,"copepods"
136010,"Arthropoda","Copepoda","Siphonostomatoida","Sphyriidae","Sphyrion","Sphyrion lumpi",2,1990,,TRUE,TRUE,FALSE,,,,"copepods"
237496,"Arthropoda","Malacostraca","Amphipoda","Hyalidae","Apohyale","Apohyale hirtipalma",3,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
431117,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprellinoides","Caprellinoides tristanensis",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237120,"Arthropoda","Malacostraca","Amphipoda","Maeridae","Ceradocopsis","Ceradocopsis kergueleni",1,1985,,TRUE,TRUE,FALSE,,,,"crustaceans"
237210,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Dodecas","Dodecas elongata",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
214780,"Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Eusiroides","Eusiroides monoculoides",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237126,"Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Gitanopsis","Gitanopsis squamosa",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
237188,"Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Gondogeneia","Gondogeneia chosroides",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
103254,"Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Hyperia spinigera",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237158,"Arthropoda","Malacostraca","Amphipoda","Iphimediidae","Labriphimedia","Labriphimedia pulchridentata",2,,,TRUE,TRUE,FALSE,,,,"crustaceans"
211357,"Arthropoda","Malacostraca","Amphipoda","Liljeborgiidae","Liljeborgia","Liljeborgia consanguinea",2,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237203,"Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Notopoma","Notopoma oppositus",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
237222,"Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Oradarea","Oradarea tridentata",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
868477,"Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Orchomenella","Orchomenella cavimanus",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237142,"Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Paramoera","Paramoera kergueleni",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
237461,"Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Probolisca","Probolisca ovata",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
237350,"Arthropoda","Malacostraca","Amphipoda","Caprellidae","Protellopsis","Protellopsis kergueleni",2,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237117,"Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Schraderia","Schraderia gracilis",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
870682,"Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Tasmanosa","Tasmanosa barbatipes",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
325384,"Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto","Themisto gaudichaudii",2,,,TRUE,TRUE,FALSE,,,,"crustaceans"
237144,"Arthropoda","Malacostraca","Amphipoda","Uristidae","Uristes","Uristes gigas",2,1952,,TRUE,TRUE,FALSE,,,,"crustaceans"
181999,"Arthropoda","Malacostraca","Cumacea","Diastylidae","Diastylopsis","Diastylopsis annulata",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
236217,"Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia superba",1,1998,,TRUE,TRUE,FALSE,"LC","LC","Antarctic krill, krill antarctique","crustaceans"
259520,"Arthropoda","Malacostraca","Isopoda","Janiridae","Caecianiropsis","Caecianiropsis ectiformis",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
259633,"Arthropoda","Malacostraca","Isopoda","Paranthuridae","Califanthura","Califanthura pingouin",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
175200,"Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Cassidinopsis","Cassidinopsis emarginata",4,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
256881,"Arthropoda","Malacostraca","Isopoda","Limnoriidae","Limnoria","Limnoria carptora",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
261311,"Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Moruloidea","Moruloidea darwinii",1,1988,,TRUE,FALSE,FALSE,,,,"crustaceans"
258443,"Arthropoda","Malacostraca","Isopoda","Santiidae","Santia","Santia marmorata",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
244630,"Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Apseudes","Apseudes spectabilis",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
247703,"Arthropoda","Malacostraca","Tanaidacea","Tanaididae","Langitanais","Langitanais bifidirostris",2,,,TRUE,TRUE,FALSE,,,,"crustaceans"
244606,"Arthropoda","Malacostraca","Tanaidacea","Nototanaidae","Nototanais","Nototanais dimorphus",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
247735,"Arthropoda","Malacostraca","Tanaidacea","Tanaididae","Pancoloides","Pancoloides litoralis",3,,,TRUE,TRUE,FALSE,,,,"crustaceans"
244637,"Arthropoda","Malacostraca","Tanaidacea","Apseudidae","Pugiodactylus","Pugiodactylus antarcticus",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
819922,"Arthropoda","Malacostraca","Tanaidacea","Tanaididae","Zeuxo","Zeuxo phytalensis",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
247730,"Arthropoda","Malacostraca","Tanaidacea","Tanaididae","Zeuxoides","Zeuxoides pseudolitoralis",2,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
111071,"Bryozoa","Gymnolaemata","Cheilostomatida","Beaniidae","Beania","Beania magellanica",,,,FALSE,TRUE,FALSE,,,,"filter-feeders"
471582,"Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Biflustra","Biflustra perfragilis",,,,FALSE,TRUE,FALSE,,,,"filter-feeders"
172961,"Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bugula","Bugula longissima",,,,FALSE,TRUE,FALSE,,,,"filter-feeders"
469901,"Bryozoa","Gymnolaemata","Cheilostomatida","Lanceoporidae","Calyptotheca","Calyptotheca triangula",,,,FALSE,TRUE,FALSE,,,,"filter-feeders"
