"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
660621,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa cylindracea",6,,,2017,,TRUE,TRUE,FALSE,,,,"algae"
144483,"Chlorophyta","Ulvophyceae","Bryopsidales","Halimedaceae","Halimeda","Halimeda tuna",1,,,1995,,TRUE,TRUE,FALSE,,,,"algae"
145012,"Chlorophyta","Ulvophyceae","Cladophorales","Anadyomenaceae","Anadyomene","Anadyomene stellata",2,,,1995,,TRUE,FALSE,FALSE,,,,"algae"
494795,"Chlorophyta","Ulvophyceae","Dasycladales","Polyphysaceae","Acetabularia","Acetabularia acetabulum",,,,,,FALSE,TRUE,FALSE,,,,"algae"
145301,"Chlorophyta","Ulvophyceae","Dasycladales","Dasycladaceae","Dasycladus","Dasycladus vermicularis",1,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
376731,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyopteris","Dictyopteris lucida",1,,,1986,,TRUE,FALSE,FALSE,,,,"algae"
145360,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyopteris","Dictyopteris polypodioides",2,,,1988,,TRUE,TRUE,FALSE,,,,"algae"
145367,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota dichotoma",,,,,,FALSE,TRUE,FALSE,,,,"algae"
381180,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota dichotoma",2,,,1974,,TRUE,FALSE,FALSE,,,,"algae"
145369,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota fasciola",1,,,1974,,TRUE,TRUE,FALSE,,,,"algae"
145385,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Padina","Padina pavonica",2,,,1974,,TRUE,TRUE,FALSE,,,,"algae"
145397,"Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Zonaria","Zonaria tournefortii",4,,,1995,,TRUE,TRUE,FALSE,,,,"algae"
145857,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia sinuosa",1,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
145410,"Ochrophyta","Phaeophyceae","Ectocarpales","Ectocarpaceae","Ectocarpus","Ectocarpus siliculosus",,,,,,FALSE,TRUE,FALSE,,,,"algae"
145352,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Stictyosiphon","Stictyosiphon adriaticus",1,,,,,TRUE,FALSE,FALSE,,,,"algae"
249680,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira amentacea",3,,,1988,,TRUE,FALSE,FALSE,,,,"algae"
550736,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira brachycarpa",2,,,1974,,TRUE,FALSE,FALSE,,,,"algae"
145511,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira compressa",5,,,1989,,TRUE,TRUE,FALSE,,,,"algae"
145514,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira crinita",6,,,1991,,TRUE,FALSE,FALSE,,,,"algae"
145518,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira foeniculacea",3,,,1984,,TRUE,TRUE,FALSE,,,,"algae"
382503,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira foeniculacea",4,,,1995,,TRUE,FALSE,FALSE,,,,"algae"
145520,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira humilis",3,,,2001,,TRUE,FALSE,FALSE,,,,"algae"
1063027,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira montagnei",2,,,1988,,TRUE,FALSE,FALSE,,,,"algae"
1568385,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Ericaria","Ericaria brachycarpa",4,,,1992,,TRUE,TRUE,FALSE,,,,"algae"
1568390,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Ericaria","Ericaria mediterranea",2,,,,,TRUE,FALSE,FALSE,,,,"algae"
1465484,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Treptacantha","Treptacantha algeriensis",2,,,1984,,TRUE,FALSE,FALSE,,,,"algae"
1465493,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Treptacantha","Treptacantha elegans",1,,,1988,,TRUE,FALSE,FALSE,,,,"algae"
145888,"Ochrophyta","Phaeophyceae","Sphacelariales","Cladostephaceae","Cladostephus","Cladostephus spongiosus",,,,,,FALSE,TRUE,FALSE,,,,"algae"
340796,"Ochrophyta","Phaeophyceae","Sphacelariales","Cladostephaceae","Cladostephus","Cladostephus spongiosus",1,,,1998,,TRUE,FALSE,FALSE,,,,"algae"
145732,"Ochrophyta","Phaeophyceae","Tilopteridales","Phyllariaceae","Phyllariopsis","Phyllariopsis brevipes",1,,,1988,,TRUE,FALSE,FALSE,,,,"algae"
548016,"Ochrophyta","Phaeophyceae","Tilopteridales","Cutleriaceae","Zanardinia","Zanardinia typus",1,,,1988,,TRUE,FALSE,FALSE,,,,"algae"
144816,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Laurencia","Laurencia chondrioides",7,,,1995,,TRUE,TRUE,FALSE,,,,"algae"
144822,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Laurencia","Laurencia glandulifera",2,,,1994,,TRUE,FALSE,FALSE,,,,"algae"
144825,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Laurencia","Laurencia microcladia",4,,,1994,,TRUE,FALSE,FALSE,,,,"algae"
144841,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Osmundaria","Osmundaria volubilis",9,,,1995,,TRUE,TRUE,FALSE,,,,"algae"
834118,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Palisada","Palisada tenerrima",1,,,1995,,TRUE,FALSE,FALSE,,,,"algae"
637665,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Vertebrata","Vertebrata fruticulosa",2,,,1994,,TRUE,FALSE,FALSE,,,,"algae"
145098,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Amphiroa","Amphiroa cryptarthrodia",2,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
839160,"Rhodophyta","Florideophyceae","Gelidiales","Gelidiaceae","Gelidium","Gelidium serra",1,,,1995,,TRUE,FALSE,FALSE,,,,"algae"
145594,"Rhodophyta","Florideophyceae","Gelidiales","Gelidiaceae","Gelidium","Gelidium spinosum",,,,,,FALSE,TRUE,FALSE,,,,"algae"
145660,"Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Phyllophora","Phyllophora crispa",2,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
145745,"Rhodophyta","Florideophyceae","Nemaliales","Galaxauraceae","Tricleocarpa","Tricleocarpa fragilis",1,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
145275,"Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia bornetii",1,,,1998,,TRUE,TRUE,FALSE,,,,"algae"
145287,"Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia rubra",3,,,2001,,TRUE,TRUE,FALSE,,,,"algae"
145288,"Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia squamaria",4,,,2001,,TRUE,TRUE,FALSE,,,,"algae"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",,,,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
158943,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca",,,,,,FALSE,TRUE,FALSE,"LC","LC","common teal, sarcelle d'hiver","birds"
148791,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos",,,,,,FALSE,TRUE,FALSE,"LC","LC","mallard, canard colvert","birds"
416682,"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser anser",,,,,,FALSE,TRUE,FALSE,"LC","LC","greylag goose","birds"
416686,"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya nyroca",,,,,,FALSE,TRUE,FALSE,"NT","NT","ferruginous duck","birds"
159098,"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator",,,,,,FALSE,TRUE,FALSE,"LC","LC","red-breasted merganser, harle huppé","birds"
416688,"Chordata","Aves","Anseriformes","Anatidae","Netta","Netta rufina",,,,,,FALSE,TRUE,FALSE,"LC","LC","red-crested pochard, nette rousse","birds"
416689,"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea",,,,,,FALSE,TRUE,FALSE,"LC","LC","ruddy shelduck  , tadorne casarca","birds"
212603,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",,,,,,FALSE,TRUE,FALSE,"LC","LC","common sandpiper, chevalier guignette","birds"
137128,"Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda",,,,,,FALSE,TRUE,FALSE,"LC","LC","razorbill, pingouin macroptère","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,,,,FALSE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
416696,"Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus oedicnemus",,,,,,FALSE,TRUE,FALSE,"LC","LC","Eurasian stone-curlew","birds"
159084,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",,,,,,FALSE,TRUE,FALSE,"LC","LC","sanderling, bécasseau sanderling","birds"
159047,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina",,,,,,FALSE,TRUE,FALSE,"LC","LC","dunlin, bécasseau variable","birds"
147433,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",,,,,,FALSE,TRUE,FALSE,"NT","NT","red knot, bécasseau maubèche","birds"
159049,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ferruginea",,,,,,FALSE,TRUE,FALSE,"NT","NT","curlew sanspiper, bécasseau cocorli","birds"
212600,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",,,,,,FALSE,TRUE,FALSE,"LC","LC","little stint, bécasseau minute","birds"
366591,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris temminckii",,,,,,FALSE,TRUE,FALSE,"LC","LC","Temminck's stint, bécasseau de Temminck","birds"
212611,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus",,,,,,FALSE,TRUE,FALSE,"LC","LC","Kentish plover, gravelot à collier interrompu","birds"
212617,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius",,,,,,FALSE,TRUE,FALSE,"LC","LC","little plover, petit gravelot","birds"
212619,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius hiaticula",,,,,,FALSE,TRUE,FALSE,"LC","LC","common ringed plover, grand gravelot","birds"
232043,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius morinellus",,,,,,FALSE,TRUE,FALSE,,,"Eurasian dotterel, pluvier guignard","birds"
137135,"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias hybrida",,,,,,FALSE,TRUE,FALSE,"LC","LC","whiskered tern, guifette moustac","birds"
137136,"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias leucopterus",,,,,,FALSE,TRUE,FALSE,"LC","LC","white winged tern, guifette leucoptère","birds"
137137,"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias niger",,,,,,FALSE,TRUE,FALSE,"LC","LC","black tern, guifette noire","birds"
