"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
156955,"Bacillariophyta","Bacillariophyceae","Naviculales","Berkeleyaceae","Berkeleya","Berkeleya rutilans",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
146236,"Chlorophyta","Chlorophyceae","Acrosiphoniales","Acrosiphoniaceae","Acrosiphonia","Acrosiphonia spinescens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
147471,"Chlorophyta","Chlorophyceae","Acrosiphoniales","Acrosiphoniaceae","Spongomorpha","Spongomorpha mertensii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
608206,"Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolaceae","Prasiola","Prasiola meridionalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
214368,"Chlorophyta","Ulvophyceae","Ulotrichales","Gayraliaceae","Gayralia","Gayralia oxysperma",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145940,"Chlorophyta","Ulvophyceae","Ulotrichales","Monostromataceae","Monostroma","Monostroma grevillei",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145925,"Chlorophyta","Ulvophyceae","Ulotrichales","Ulotrichaceae","Ulothrix","Ulothrix flacca",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145950,"Chlorophyta","Ulvophyceae","Ulvales","Kornmanniaceae","Blidingia","Blidingia minima",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
211462,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva fenestrata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234471,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva intestinalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234474,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva linza",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234476,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva prolifera",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
157123,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulvaria","Ulvaria obscura",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145307,"Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145309,"Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia ligulata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145310,"Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145316,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Coilodesme","Coilodesme bulligera",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372496,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Coilodesme","Coilodesme californica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145322,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Dictyosiphon","Dictyosiphon foeniculaceus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372689,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Haplogloia","Haplogloia andersonii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
157151,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Melanosiphon","Melanosiphon intestinalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145863,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Petalonia","Petalonia fascia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
157188,"Ochrophyta","Phaeophyceae","Ectocarpales","Acinetosporaceae","Pylaiella","Pylaiella littoralis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145869,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Scytosiphon","Scytosiphon lomentaria",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372521,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Soranthera","Soranthera ulvoidea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145544,"Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus","Fucus distichus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
157207,"Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Agarum","Agarum clathratum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373974,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria crispa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371791,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria marginata",FALSE,2,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
373975,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria praelonga",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371985,"Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Costaria","Costaria costata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373978,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Cymathaere","Cymathaere triplicata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
547463,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Eualaria","Eualaria fistulosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
496237,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Hedophyllum","Hedophyllum sessile",FALSE,2,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
494968,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria longipes",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
240748,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria setchellii",FALSE,1,,,2003,,TRUE,TRUE,FALSE,,,,"algae"
372507,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria sinclairii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371993,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria yezoensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372508,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Lessoniopsis","Lessoniopsis littoralis",FALSE,2,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
240752,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Nereocystis","Nereocystis luetkeana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372517,"Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pleurophycus","Pleurophycus gardneri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234483,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144423,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Bangia","Bangia atropurpurea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
157261,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Bangia","Bangia fuscopurpurea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144434,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra purpurea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
497477,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyrella","Porphyrella gardneri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
626051,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Pyropia","Pyropia kanakaensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
501881,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Wildemania","Wildemania amplissima",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
500421,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Wildemania","Wildemania miniata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
626029,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Wildemania","Wildemania occidentalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
626030,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Wildemania","Wildemania schizophylla",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1307178,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Wildemania","Wildemania variegata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
494903,"Rhodophyta","Compsopogonophyceae","Erythropeltales","Erythrotrichiaceae","Smithora","Smithora naiadum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144404,"Rhodophyta","Florideophyceae","Acrochaetiales","Rhodochortonaceae","Rhodochorton","Rhodochorton purpureum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372235,"Rhodophyta","Florideophyceae","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia fastigiata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
495958,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Antithamnionella","Antithamnionella pacifica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372539,"Rhodophyta","Florideophyceae","Ceramiales","Callithamniaceae","Callithamnion","Callithamnion pikeanum",FALSE,2,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
708086,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Cumathamnion","Cumathamnion decipiens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372606,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Membranoptera","Membranoptera platyphylla",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
