"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
144407,"Chlorophyta","Chlorophyceae","Acrosiphoniales","Acrosiphoniaceae","Acrosiphonia","Acrosiphonia arcta",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373425,"Chlorophyta","Chlorophyceae","Acrosiphoniales","Acrosiphoniaceae","Spongomorpha","Spongomorpha pacifica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145798,"Chlorophyta","Trebouxiophyceae","Prasiolales","Prasiolaceae","Prasiola","Prasiola crispa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373430,"Chlorophyta","Ulvophyceae","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis vestita",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
239097,"Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa brownii",FALSE,2,,,1975,,TRUE,TRUE,FALSE,,,,"algae"
145078,"Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium","Codium adhaerens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373433,"Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium","Codium dimorphum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145086,"Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium","Codium fragile",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145020,"Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Chaetomorpha","Chaetomorpha aerea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373423,"Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Cladophora","Cladophora verticillata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373414,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Gemina","Gemina enteromorphoidea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373415,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Gemina","Gemina letterstedtoidea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
156078,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva clathrata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234462,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva compressa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
234471,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva intestinalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
115104,"Haptophyta","Prymnesiophyceae","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi",FALSE,1,,,1992,,TRUE,FALSE,FALSE,,,,"algae"
590471,"Ochrophyta","Chrysomerophyceae","Chrysomeridales","Chrysomeridaceae","Giraudyopsis","Giraudyopsis stellifera",FALSE,3,,,1989,,TRUE,FALSE,FALSE,,,,"algae"
145309,"Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia ligulata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
699546,"Ochrophyta","Phaeophyceae","Ectocarpales","Adenocystaceae","Adenocystis","Adenocystis rimosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
325420,"Ochrophyta","Phaeophyceae","Ectocarpales","Adenocystaceae","Adenocystis","Adenocystis utricularis",FALSE,4,,,2017,,TRUE,TRUE,FALSE,,,,"algae"
373447,"Ochrophyta","Phaeophyceae","Ectocarpales","Adenocystaceae","Caepidium","Caepidium antarcticum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
214326,"Ochrophyta","Phaeophyceae","Ectocarpales","Adenocystaceae","Chordariopsis","Chordariopsis capensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373332,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Elachista","Elachista australis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
325507,"Ochrophyta","Phaeophyceae","Ectocarpales","Acinetosporaceae","Geminocarpus","Geminocarpus geminatus",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"algae"
494940,"Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Leathesia","Leathesia marina",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145869,"Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Scytosiphon","Scytosiphon lomentaria",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373478,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystophora","Cystophora scalaris",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373370,"Ochrophyta","Phaeophyceae","Fucales","Durvillaeaceae","Durvillaea","Durvillaea antarctica",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
626384,"Ochrophyta","Phaeophyceae","Fucales","Durvillaeaceae","Durvillaea","Durvillaea poha",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373473,"Ochrophyta","Phaeophyceae","Fucales","Seirococcaceae","Marginariella","Marginariella urvilliana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373472,"Ochrophyta","Phaeophyceae","Fucales","Xiphophoraceae","Xiphophora","Xiphophora chondrophylla",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
374296,"Ochrophyta","Phaeophyceae","Fucales","Xiphophoraceae","Xiphophora","Xiphophora gladiata",FALSE,2,,,2018,,TRUE,TRUE,FALSE,,,,"algae"
373468,"Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Lessonia","Lessonia brevifolia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373467,"Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Lessonia","Lessonia variegata",FALSE,1,,,1977,,TRUE,TRUE,FALSE,,,,"algae"
232231,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera",FALSE,2,,,2017,,TRUE,TRUE,FALSE,,,,"algae"
325567,"Ochrophyta","Phaeophyceae","Scytothamnales","Splachnidiaceae","Scytothamnus","Scytothamnus fasciculatus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
498350,"Ochrophyta","Phaeophyceae","Sphacelariales","Stypocaulaceae","Halopteris","Halopteris funicularis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373455,"Ochrophyta","Phaeophyceae","Sphacelariales","Stypocaulaceae","Halopteris","Halopteris novae-zelandiae",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
160585,"Ochrophyta","Raphidophyceae","Chattonellales","Chattonellaceae","Heterosigma","Heterosigma akashiwo",FALSE,1,,,1989,,TRUE,FALSE,FALSE,,,,"algae"
626021,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Lysithea","Lysithea adamsiae",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
626037,"Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Pyropia","Pyropia columbina",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
526659,"Rhodophyta","Compsopogonophyceae","Erythropeltales","Erythrotrichiaceae","Pyrophyllon","Pyrophyllon subtumens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
214079,"Rhodophyta","Florideophyceae","Balliales","Balliaceae","Ballia","Ballia callitricha",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144438,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Asparagopsis","Asparagopsis armata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373549,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Ptilonia","Ptilonia mooreana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373550,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Ptilonia","Ptilonia willana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373586,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Acrosorium","Acrosorium decumbens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371575,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Acrosorium","Acrosorium minus",FALSE,1,,,,,TRUE,FALSE,FALSE,,,,"algae"
376271,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Adamsiella","Adamsiella chauvinii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373567,"Rhodophyta","Florideophyceae","Ceramiales","Wrangeliaceae","Anotrichium","Anotrichium crinitum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373571,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium aucklandicum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
239121,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium tasmanicum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
178915,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium virgatum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
377258,"Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium virgatum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373612,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Chondria","Chondria macrocarpa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371641,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Cladhymenia","Cladhymenia oblongifolia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
494934,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Dasyclonium","Dasyclonium adiantiforme",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373600,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Dasyclonium","Dasyclonium bifurcatum",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"algae"
373609,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Echinothamnion","Echinothamnion lyallii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373391,"Rhodophyta","Florideophyceae","Ceramiales","Callithamniaceae","Euptilota","Euptilota formosissima",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"algae"
373592,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Heterosiphonia","Heterosiphonia concinna",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
144732,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Heterosiphonia","Heterosiphonia plumosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
494933,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Hymenena","Hymenena durvillei",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373646,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Lophurella","Lophurella hookeriana",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
374490,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Microcolax","Microcolax botryocarpus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
838031,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Paraglossum","Paraglossum crassinervium",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373602,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Polysiphonia","Polysiphonia rudis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371618,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Schizoseris","Schizoseris dichotoma",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373585,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Schizoseris","Schizoseris griffithsia",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373610,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Streblocladia","Streblocladia glomerulata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
1027802,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Xiphosiphonia","Xiphosiphonia pennata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
376886,"Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina ferreyrae",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145108,"Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina officinalis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
375194,"Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Jania","Jania rosea",FALSE,1,,,2017,,TRUE,TRUE,FALSE,,,,"algae"
841069,"Rhodophyta","Florideophyceae","Corallinales","Mesophyllumaceae","Melyvonnea","Melyvonnea erubescens",FALSE,1,,,1979,,TRUE,TRUE,FALSE,,,,"algae"
708227,"Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Titanoderma","Titanoderma conspectum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373491,"Rhodophyta","Florideophyceae","Gelidiales","Gelidiaceae","Gelidium","Gelidium microphyllum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371733,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Gigartina","Gigartina ancistroclada",FALSE,1,,,,,TRUE,FALSE,FALSE,,,,"algae"
373504,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Gigartina","Gigartina clavifera",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373505,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Gigartina","Gigartina divaricata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371734,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Gigartina","Gigartina pachymenioides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373506,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Iridaea","Iridaea lanceolata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
371712,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Iridaea","Iridaea tuberculosa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
325564,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Sarcothalia","Sarcothalia circumcincta",FALSE,1,,,2018,,TRUE,TRUE,FALSE,,,,"algae"
371717,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Sarcothalia","Sarcothalia lanceata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
374944,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Sarcothalia","Sarcothalia radula",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
548023,"Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","Curdiea","Curdiea coriacea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
372194,"Rhodophyta","Florideophyceae","Halymeniales","Grateloupiaceae","Grateloupia","Grateloupia prolongata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
502777,"Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Pachymenia","Pachymenia dichotoma",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373337,"Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Pachymenia","Pachymenia lusoria",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373495,"Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiaceae","Apophlaea","Apophlaea lyallii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
213854,"Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiaceae","Hildenbrandia","Hildenbrandia lecannellieri",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373489,"Rhodophyta","Florideophyceae","Nemaliales","Scinaiaceae","Nothogenia","Nothogenia fastigiata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
325542,"Rhodophyta","Florideophyceae","Palmariales","Palmariaceae","Palmaria","Palmaria decipiens",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
145782,"Rhodophyta","Florideophyceae","Plocamiales","Plocamiaceae","Plocamium","Plocamium cartilagineum",FALSE,3,,,,,TRUE,TRUE,FALSE,,,,"algae"
373535,"Rhodophyta","Florideophyceae","Plocamiales","Plocamiaceae","Plocamium","Plocamium hamatum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373534,"Rhodophyta","Florideophyceae","Plocamiales","Plocamiaceae","Plocamium","Plocamium microcladioides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373543,"Rhodophyta","Florideophyceae","Rhodymeniales","Faucheaceae","Cenacrum","Cenacrum subsutum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
373540,"Rhodophyta","Florideophyceae","Rhodymeniales","Rhodymeniaceae","Rhodymenia","Rhodymenia dichotoma",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
624454,"Rhodophyta","Florideophyceae","Rhodymeniales","Rhodymeniaceae","Rhodymenia","Rhodymenia wilsonis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
105465,"Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Serratosagitta","Serratosagitta tasmanica",FALSE,1,,,,,TRUE,TRUE,FALSE,,,"arrow worm","arrow worms"
105416,"Chaetognatha","Sagittoidea","Phragmophora","Eukrohniidae","Eukrohnia","Eukrohnia hamata",FALSE,3,,,2013,,TRUE,TRUE,FALSE,,,"arrow worm","arrow worms"
225949,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas aucklandica",FALSE,,,,,,FALSE,TRUE,FALSE,"NT","NT","Campbell teal, sarcelle brune","birds"
567393,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas nesiotis",FALSE,,,,,,FALSE,TRUE,FALSE,"VU","VU","Campbell teal,  Sarcelle de Campbell","birds"
148791,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","mallard, canard colvert","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",FALSE,2,,,1978,,TRUE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
225955,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris acuminata",FALSE,,,,,,FALSE,TRUE,FALSE,"VU","VU","sharp-tailed sandpiper","birds"
366848,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius bicinctus",FALSE,,,,,,FALSE,TRUE,FALSE,"NT","NT","double-banded plover, pluvier à double collier","birds"
1436379,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius bicinctus",FALSE,5,,,2019,,TRUE,FALSE,FALSE,"NT","NT",,"birds"
366770,"Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus unicolor",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","variable oystercatcher, huîtrier variable","birds"
225948,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus bulleri",FALSE,,,,,,FALSE,TRUE,FALSE,"NT","NT","black-billed gull, mouette de Buller","birds"
212624,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus dominicanus",FALSE,16,,,2013,,TRUE,TRUE,FALSE,"LC","LC","kelp gull, goéland dominicain","birds"
343915,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus novaehollandiae",FALSE,13,,,2013,,TRUE,TRUE,FALSE,"LC","LC","silver gull, mouette argentée","birds"
343917,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus pacificus",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","Pacific gull, Goéland austral","birds"
225913,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus scopulinus",FALSE,3,,,2018,,TRUE,FALSE,FALSE,,,"red-billed gull, mouette scopuline","birds"
159034,"Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",FALSE,,,,,,FALSE,TRUE,FALSE,"NT","NT","bar-tailed godwit, barge rousse","birds"
225934,"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius madagascariensis",FALSE,1,,,2013,,TRUE,TRUE,FALSE,"EN","EN","eastern curlew, courlis de Sibérie","birds"
567471,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius antarcticus",FALSE,14,,,2019,,TRUE,TRUE,FALSE,,,"brown skua, labbe antarctique","birds"
137174,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius skua",FALSE,,,,,,FALSE,TRUE,FALSE,,,"great skua, stercoraire brun","birds"
137162,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","common tern, sterne pierregarin","birds"
137165,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea",FALSE,1,,,1978,,TRUE,TRUE,FALSE,"LC","LC","Arctic tern, sterne à longue queue","birds"
225976,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna striata",FALSE,,,,,,FALSE,TRUE,FALSE,"NT","NT","white-fronted tern, Sterne tara","birds"
225766,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna vittata",FALSE,37,,,2018,,TRUE,TRUE,FALSE,"LC","LC","Antarctic tern, Sterne couronnée","birds"
158968,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","common greenshank, chevalier aboyeur","birds"
567845,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta novaehollandiae",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","white-faced heron, aigrette à face blanche","birds"
446493,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta sacra",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","blue reef heron, aigrette sacrée","birds"
1674256,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Leucocarbo","Leucocarbo bougainvillii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"birds"
1611502,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Leucocarbo","Leucocarbo carunculatus",FALSE,,,,,,FALSE,TRUE,FALSE,"VU","VU",,"birds"
1610891,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Leucocarbo","Leucocarbo chalconotus",FALSE,,,,,,FALSE,TRUE,FALSE,"VU","VU","Otago shag","birds"
343991,"Chordata","Aves","Pelecaniformes","Sulidae","Morus","Morus serrator",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","Australasian gannet, fou austral","birds"
343938,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax bougainvillii",FALSE,1,,,1967,,TRUE,FALSE,FALSE,,,"Guanay cormorant, cormoran de Bougainville","birds"
