"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
145984,"Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva lactuca",,,,,,FALSE,TRUE,FALSE,,,,"algae"
221475,"Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Turbinaria","Turbinaria turbinata",,,,,,FALSE,TRUE,FALSE,,,,"algae"
377084,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina japonica",,,,,,FALSE,TRUE,FALSE,,,,"algae"
212603,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",1,,,1932,,TRUE,FALSE,FALSE,"LC","LC","common sandpiper, chevalier guignette","birds"
344003,"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous minutus",,,,,,FALSE,TRUE,FALSE,"LC","LC","black noddy,  Noddi noir","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,,,,FALSE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
225955,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris acuminata",,,,,,FALSE,TRUE,FALSE,"VU","VU","sharp-tailed sandpiper","birds"
344045,"Chordata","Aves","Charadriiformes","Laridae","Gygis","Gygis alba",,,,,,FALSE,TRUE,FALSE,"LC","LC","common white-tern, gygis blanche","birds"
366863,"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius tahitiensis",,,,,,FALSE,TRUE,FALSE,"NT","NT","bristle-thighed curlew, courlis d'Alaska","birds"
567829,"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion lunatus",,,,,,FALSE,TRUE,FALSE,"LC","LC","spectacled tern, sterne à dos gris","birds"
232044,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis fulva",,,,,,FALSE,TRUE,FALSE,"LC","LC","Pacific golden plover  , pluvier fauve","birds"
137165,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea",,,,,,FALSE,TRUE,FALSE,"LC","LC","Arctic tern, sterne à longue queue","birds"
212608,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna sumatrana",,,,,,FALSE,TRUE,FALSE,"LC","LC","black-naped tern, sterne diamant","birds"
567470,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa incana",,,,,,FALSE,TRUE,FALSE,"LC","LC","wandering tattler, chevalier errant","birds"
212594,"Chordata","Aves","Pelecaniformes","Phaethontidae","Phaethon","Phaethon lepturus",,,,,,FALSE,TRUE,FALSE,"LC","LC","white-tailed tropicbird, phaéton à bec jaune","birds"
343959,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula nebouxii",,,,,,FALSE,TRUE,FALSE,"LC","LC","blue-footed booby, fou à pieds bleus","birds"
137193,"Chordata","Aves","Procellariiformes","Procellariidae","Bulweria","Bulweria bulwerii",,,,,,FALSE,TRUE,FALSE,"LC","LC","Bulwer's petrel","birds"
344097,"Chordata","Aves","Procellariiformes","Hydrobatidae","Nesofregetta","Nesofregetta fuliginosa",,,,,,FALSE,TRUE,FALSE,"EN","EN","white-throated storm-petrel, océanite à gorge blanche","birds"
137191,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma castro",,,,,,FALSE,TRUE,FALSE,,,"band-rumped storm petrel, océanite de Castro","birds"
137192,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma leucorhoa",,,,,,FALSE,TRUE,FALSE,,,"Leach's storm-petrel, océanite culblanc","birds"
343972,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma alba",,,,,,FALSE,TRUE,FALSE,"VU","VU","Phoenix petrel, pétrel à poitrine blanche","birds"
