"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
847411,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschiella","Nitzschiella californica",FALSE,16,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
832130,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia abrensis",FALSE,,60,2,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
531450,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia caciantha",FALSE,,12,1,,"16S",FALSE,FALSE,TRUE,,,,"algae"
370512,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia cuspidata",FALSE,,140,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1307191,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia sabit",FALSE,,170,3,,"COI",FALSE,FALSE,TRUE,,,,"algae"
164108,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum delicatulum",FALSE,2,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
164110,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum furcatum",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
687428,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum wallichii",FALSE,1,,,2000,,TRUE,FALSE,FALSE,,,,"algae"
149120,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros danicus",FALSE,1,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
149126,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros decipiens",FALSE,1,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
163056,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros difficilis",FALSE,2,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
160521,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros eibenii",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"algae"
163036,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros eibenii",FALSE,2,,,1958,,TRUE,FALSE,FALSE,,,,"algae"
593878,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros secundus",FALSE,1,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
149123,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis",FALSE,,103,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
418516,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros vanheurckii",FALSE,1,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",FALSE,,562,5,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
163243,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia striata",FALSE,,448,5,,"12S;16S",FALSE,TRUE,TRUE,,,,"algae"
149131,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Eucampia","Eucampia zodiacus",FALSE,1,145,2,1958,"12S",TRUE,TRUE,TRUE,,,,"algae"
163250,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus sinensis",FALSE,,480,4,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
231888,"Bacillariophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis palmeriana",FALSE,1,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
149232,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula membranacea",FALSE,6,,,2007,,TRUE,TRUE,FALSE,,,,"algae"
175584,"Bacillariophyta","Bacillariophyceae","Naviculales","Phaeodactylaceae","Phaeodactylum","Phaeodactylum tricornutum",FALSE,,35,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
967041,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia striata",FALSE,1,,,1958,,TRUE,FALSE,FALSE,,,,"algae"
149168,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Proboscia","Proboscia alata",FALSE,2,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
163344,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Pseudosolenia","Pseudosolenia calcar-avis",FALSE,2,,,1958,,TRUE,TRUE,FALSE,,,,"algae"
