"AphiaID","phylum","class","order","family","genus","species","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
149004,"Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium",,4192,18,,"16S;COI",FALSE,FALSE,TRUE,,,,"algae"
149123,"Bacillariophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis",,552,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149271,"Bacillariophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii",,90,2,,"12S",FALSE,FALSE,TRUE,,,,"algae"
464448,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Bellerocheaceae","Bellerochea","Bellerochea polymorpha",,16735,10,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
163250,"Bacillariophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","Hemiaulus","Hemiaulus sinensis",,681,5,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
1288237,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula tsukamotoi",,86,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
1590706,"Bacillariophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Sundstroemia","Sundstroemia setigera",,29,1,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149093,"Bacillariophyta","Bacillariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides",,45,2,,"COI",FALSE,FALSE,TRUE,,,,"algae"
149074,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema costatum",,5882,3,,"12S;COI",FALSE,FALSE,TRUE,,,,"algae"
148942,"Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira rotula",,69,2,,"12S;16S",FALSE,FALSE,TRUE,,,,"algae"
160538,"Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa",,457182,27,,"12S;16S;COI",FALSE,FALSE,TRUE,,,,"algae"
266884,"Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Zonosagitta","Zonosagitta bedoti",,600,1,,"COI",FALSE,FALSE,TRUE,,,,"arrow worms"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",,,,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
158943,"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca",,,,,,FALSE,TRUE,FALSE,"LC","LC","common teal, sarcelle d'hiver","birds"
416686,"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya nyroca",,,,,,FALSE,TRUE,FALSE,"NT","NT","ferruginous duck","birds"
212603,"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",,,,,,FALSE,TRUE,FALSE,"LC","LC","common sandpiper, chevalier guignette","birds"
147431,"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,,,,FALSE,TRUE,FALSE,"LC","LC","ruddy turnstone, tournepierre à collier","birds"
159084,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",,,,,,FALSE,TRUE,FALSE,"LC","LC","sanderling, bécasseau sanderling","birds"
1488272,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris falcinellus",,,,,,FALSE,TRUE,FALSE,"LC","LC",,"birds"
159049,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ferruginea",,,,,,FALSE,TRUE,FALSE,"NT","NT","curlew sanspiper, bécasseau cocorli","birds"
212600,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",,,,,,FALSE,TRUE,FALSE,"LC","LC","little stint, bécasseau minute","birds"
366591,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris temminckii",,,,,,FALSE,TRUE,FALSE,"LC","LC","Temminck's stint, bécasseau de Temminck","birds"
366592,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris tenuirostris",,,,,,FALSE,TRUE,FALSE,"EN","EN","great knot","birds"
212611,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus",,,,,,FALSE,TRUE,FALSE,"LC","LC","Kentish plover, gravelot à collier interrompu","birds"
212617,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius",,,,,,FALSE,TRUE,FALSE,"LC","LC","little plover, petit gravelot","birds"
212616,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius leschenaultii",,,,,,FALSE,TRUE,FALSE,"LC","LC","great sand-plover","birds"
148798,"Chordata","Aves","Charadriiformes","Laridae","Gelochelidon","Gelochelidon nilotica",,,,,,FALSE,TRUE,FALSE,"LC","LC","gull-billed tern","birds"
366836,"Chordata","Aves","Charadriiformes","Glareolidae","Glareola","Glareola lactea",,,,,,FALSE,TRUE,FALSE,"LC","LC","small pratincole, glaréole lactée","birds"
147436,"Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus ostralegus",,,,,,FALSE,TRUE,FALSE,"NT","NT","Eurasian oyster catcher, huîtrier pie","birds"
567825,"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",,,,,,FALSE,TRUE,FALSE,"LC","LC","Caspian tern","birds"
137149,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus ridibundus",,,,,,FALSE,TRUE,FALSE,"LC","LC","common black-headed gull, mouette rieuse","birds"
159034,"Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",,,,,,FALSE,TRUE,FALSE,"NT","NT","bar-tailed godwit, barge rousse","birds"
159037,"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius arquata",,,,,,FALSE,TRUE,FALSE,"NT","NT","Eurasian curlew, courlis cendré","birds"
159040,"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus",,,,,,FALSE,TRUE,FALSE,"LC","LC","whimbrel, courlis corllieu","birds"
232044,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis fulva",,,,,,FALSE,TRUE,FALSE,"LC","LC","Pacific golden plover  , pluvier fauve","birds"
159137,"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola",,,,,,FALSE,TRUE,FALSE,"LC","LC","grey plover, pluvier argenté","birds"
212721,"Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta",,,,,,FALSE,TRUE,FALSE,"LC","LC","avocet, avocette élégante","birds"
343926,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna aurantia",,,,,,FALSE,TRUE,FALSE,"VU","VU","river tern, sterne de rivière","birds"
212606,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna bergii",,,,,,FALSE,TRUE,FALSE,,,"greater crested tern, Sterne huppée","birds"
567480,"Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons",,,,,,FALSE,TRUE,FALSE,"LC","LC","little tern","birds"
159029,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa erythropus",,,,,,FALSE,TRUE,FALSE,"LC","LC","spotted redshank, chevalier arlequin","birds"
158968,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",,,,,,FALSE,TRUE,FALSE,"LC","LC","common greenshank, chevalier aboyeur","birds"
212623,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa stagnatilis",,,,,,FALSE,TRUE,FALSE,"LC","LC","marsh sandpiper, chevalier stagnatile","birds"
158970,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa totanus",,,,,,FALSE,TRUE,FALSE,"LC","LC","redshank, chevalier gambette","birds"
212602,"Chordata","Aves","Charadriiformes","Scolopacidae","Xenus","Xenus cinereus",,,,,,FALSE,TRUE,FALSE,"LC","LC","terek sandpiper","birds"
212661,"Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","Butorides striata",,,,,,FALSE,TRUE,FALSE,"LC","LC","green-backed heron, héron strié","birds"
159115,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta garzetta",,,,,,FALSE,TRUE,FALSE,"LC","LC","little egret, aigrette garzette","birds"
212662,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta intermedia",,,,,,FALSE,TRUE,FALSE,,,"intermediate egret, héron intermédiaire","birds"
567851,"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus chloris",,,,,,FALSE,TRUE,FALSE,"LC","LC","collared kingfisher, Martin-chasseur à collier blanc","birds"
446494,"Chordata","Aves","Falconiformes","Accipitridae","Haliaeetus","Haliaeetus leucogaster",,,,,,FALSE,TRUE,FALSE,"LC","LC","white-bellied sea eagle, pygargue blagre","birds"
290630,"Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Paracondylactis","Paracondylactis sinensis",,5,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117269,"Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea conica",,9,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
117568,"Cnidaria","Hydrozoa","Limnomedusae","Geryoniidae","Liriope","Liriope tetraphylla",,4,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
220489,"Cnidaria","Scyphozoa","Rhizostomeae","Catostylidae","Acromitus","Acromitus flagellatus",,13,1,,"COI",FALSE,FALSE,TRUE,,,,"cnidarians"
220834,"Arthropoda","Copepoda","Calanoida","Calanidae","Canthocalanus","Canthocalanus pauper",,29,2,,"12S;COI",FALSE,FALSE,TRUE,,,,"copepods"
104495,"Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages furcatus",,262,2,,"16S;COI",FALSE,FALSE,TRUE,,,,"copepods"
720587,"Arthropoda","Copepoda","Calanoida","Tortanidae","Tortanus","Tortanus (Tortanus) forcipatus",,20409,5,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
220944,"Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona attenuata",,1367,3,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
106278,"Arthropoda","Branchiopoda","Onychopoda","Podonidae","Pseudevadne","Pseudevadne tergestina",,13,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
210647,"Arthropoda","Malacostraca","Decapoda","Sergestidae","Acetes","Acetes indicus",,70,2,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
1358779,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Austruca","Austruca variegata",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
444517,"Arthropoda","Malacostraca","Decapoda","Sesarmidae","Episesarma","Episesarma versicolor",,62,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
220137,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Macrobrachium","Macrobrachium rosenbergii",,,,,,FALSE,TRUE,FALSE,"LC","LC","giant freshwater prawn, bouquet géant","crustaceans"
444960,"Arthropoda","Malacostraca","Decapoda","Macrophthalmidae","Macrophthalmus","Macrophthalmus (Mareotis) tomentosus",,7,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
210397,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus affinis",,,,,,FALSE,TRUE,FALSE,,,"Jinga shrimp","crustaceans"
210396,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus brevicornis",,10,1,,"COI",FALSE,FALSE,TRUE,,,"yellow prawn","crustaceans"
107107,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus monoceros",,,,,,FALSE,TRUE,FALSE,,,"speckled shrimp","crustaceans"
585389,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Mierspenaeopsis","Mierspenaeopsis hardwickii",,12,1,,"COI",FALSE,TRUE,TRUE,,,,"crustaceans"
585386,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Mierspenaeopsis","Mierspenaeopsis sculptilis",,22,1,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
220151,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon styliferus",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
210375,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus indicus",,54,1,,"COI",FALSE,TRUE,TRUE,,,"Indian white shrimp","crustaceans"
377669,"Arthropoda","Malacostraca","Decapoda","Solenoceridae","Solenocera","Solenocera melantho",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
1214518,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca alcocki",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
955322,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca rosea",,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
242839,"Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphioplus","Amphioplus (Lymanella) laevis",,134,1,,"16S",FALSE,FALSE,TRUE,,,,"echinoderms"
217347,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus dussumieri",1,,,,,TRUE,FALSE,FALSE,"EN","EN","whitecheek shark","fish"
271322,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus hemiodon",2,,,,,TRUE,FALSE,FALSE,"CR","CR",,"fish"
105792,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus leucas",2,,,,,TRUE,FALSE,FALSE,"VU","VU","bull shark, requin-bouledogue","fish"
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus",2,,,,,TRUE,FALSE,FALSE,"VU","VU","blacktip shark","fish"
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus",3,,,,,TRUE,FALSE,FALSE,"VU","VU","blacktip reef shark","fish"
217339,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus sorrah",1,,,,,TRUE,FALSE,FALSE,"NT","NT","spottail shark","fish"
220034,"Chordata","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis","Eridacnis radcliffei",1,,,,,TRUE,FALSE,FALSE,"LC","LC","pygmy ribbontail catshark","fish"
280757,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Eusphyra","Eusphyra blochii",3,,,,,TRUE,FALSE,FALSE,"EN","EN",,"fish"
105799,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo","Galeocerdo cuvier",1,,,,,TRUE,FALSE,FALSE,"NT","NT","tiger shark","fish"
277183,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis","Glyphis gangeticus",2,,,,,TRUE,FALSE,FALSE,"CR","CR",,"fish"
