organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
18577	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	46737	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:100.00000000000003;phylum:Chordata:100.00000000000003;class:Actinopteri:100.00000000000003;order:Gobiiformes:100.00000000000003;family:Gobiidae:100.00000000000003;genus:Pomatoschistus:85.90129205155444;species:Pomatoschistus_marmoratus:30.291184937295718	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.48_W-8-singleplex
12756	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	46737	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:100.00000000000003;phylum:Chordata:100.00000000000003;class:Actinopteri:100.00000000000003;order:Gobiiformes:100.00000000000003;family:Gobiidae:100.00000000000003;genus:Pomatoschistus:100.00000000000003;species:Pomatoschistus_microps:99.42857142857146	Pomatoschistus microps	urn:lsid:marinespecies.org:taxname:126927	species	asv.1_W-8-singleplex
4721	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	46737	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Pomatoschistus:100.0;species:Pomatoschistus_microps:99.5	Pomatoschistus microps	urn:lsid:marinespecies.org:taxname:126927	species	asv.3_W-8-singleplex
4414	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000007;phylum:Chordata:100.00000000000007;class:Actinopteri:100.00000000000007;order:Pleuronectiformes:100.00000000000007;family:Pleuronectidae:100.00000000000007;genus:Platichthys:42.18466758209468;species:Platichthys_stellatus:23.91949299487155	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.2_W-8-multi-tot
4050	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:95.00000000000001;class:Mammalia:94.00000000000001;order:Primates:94.00000000000001;family:Hominidae:94.00000000000001;genus:Homo:94.00000000000001;species:Homo_sapiens:94.00000000000001	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.4_W-8-multi-tot
3965	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Actinopteri:100.00000000000001;order:Pleuronectiformes:100.00000000000001;family:Pleuronectidae:100.00000000000001;genus:Platichthys:36.00000000000001;species:Platichthys_flesus:17.000000000000004	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.49_W-8-multi-tot
3835	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Mammalia:100.00000000000001;order:Primates:100.00000000000001;family:Hominidae:100.00000000000001;genus:Homo:100.00000000000001;species:Homo_sapiens:100.00000000000001	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.50_W-8-multi-tot
3547	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:100.00000000000003;phylum:Chordata:100.00000000000003;class:Actinopteri:100.00000000000003;order:Gobiiformes:100.00000000000003;family:Gobiidae:100.00000000000003;genus:Pomatoschistus:85.90129205155444;species:Pomatoschistus_marmoratus:30.291184937295718	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.48_W-8-multi-tot
3106	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma	superkingdom:Eukaryota:100.00000000000004;phylum:Mollusca:100.00000000000004;class:Bivalvia:100.00000000000004;order:Cardiida:100.00000000000004;family:Cardiidae:100.00000000000004;genus:Cerastoderma:100.00000000000004;species:Cerastoderma_edule:100.00000000000004	Cerastoderma edule	urn:lsid:marinespecies.org:taxname:138998	species	asv.5_W-8-multi-tot
3106	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	50083	DNA Sequence reads	DNA Sequence reads	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma	superkingdom:Eukaryota:100.00000000000001;phylum:Mollusca:100.00000000000001;class:Bivalvia:100.00000000000001;order:Cardiida:100.00000000000001;family:Cardiidae:100.00000000000001;genus:Cerastoderma:100.00000000000001;species:Cerastoderma_edule:100.00000000000001	Cerastoderma edule	urn:lsid:marinespecies.org:taxname:138998	species	asv.51_W-8-multi-tot
