organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
106732	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Tharyx	superkingdom:Eukaryota:100.00000000000001;phylum:Annelida:100.00000000000001;class:Polychaeta:100.00000000000001;order:Terebellida:100.00000000000001;family:Cirratulidae:100.00000000000001;genus:Tharyx:100.00000000000001;species:Tharyx_setigera:100.00000000000001	Tharyx setigera	urn:lsid:marinespecies.org:taxname:156678	species	asv.1_W-8-singleplex
25723	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Tharyx	superkingdom:Eukaryota:100.00000000000001;phylum:Annelida:100.00000000000001;class:Polychaeta:100.00000000000001;order:Terebellida:100.00000000000001;family:Cirratulidae:100.00000000000001;genus:Tharyx:100.00000000000001;species:Tharyx_setigera:100.00000000000001	Tharyx setigera	urn:lsid:marinespecies.org:taxname:156678	species	asv.1_W-8-multi-tot
18937	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola	superkingdom:Eukaryota:99.99999999999997;phylum:Annelida:99.99999999999997;class:Polychaeta:99.99999999999997;order:NA:6.792261904761906;family:Arenicolidae:99.99999999999997;genus:Arenicola:99.99999999999997;species:Arenicola_marina:99.99999999999997	Arenicola marina	urn:lsid:marinespecies.org:taxname:129868	species	asv.2_W-8-singleplex
11033	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads							superkingdom:Eukaryota:0;phylum:Platyhelminthes:0;class:Trematoda:0;order:Strigeidida:0;family:Schistosomatidae:0;genus:Schistosoma:0;species:Schistosoma_japonicum:0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.331_W-8-singleplex
10949	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.00000000000001;phylum:Annelida:67.33333333333334;class:Clitellata:67.33333333333334;order:Crassiclitellata:67.33333333333334;family:Megascolecidae:67.33333333333334;genus:Amynthas:66.83333333333334;species:Tomocerus_minor:32.666666666666664	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.330_W-8-singleplex
7421	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Annelida:63.66666666666665;class:Clitellata:63.66666666666665;order:Crassiclitellata:63.66666666666665;family:Megascolecidae:63.66666666666665;genus:Amynthas:63.66666666666665;species:Tomocerus_minor:36.333333333333336	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.332_W-8-singleplex
6755	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Arthropoda:66.33333333333333;class:Malacostraca:66.33333333333333;order:Amphipoda:66.33333333333333;family:Niphargidae:66.33333333333333;genus:Niphargus:66.33333333333333;species:Niphargus_schellenbergi:66.33333333333333	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.333_W-8-singleplex
6185	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Arthropoda:72.0;class:Malacostraca:69.0;order:Decapoda:69.0;family:Penaeidae:69.0;genus:Penaeus:69.0;species:Penaeus_latisulcatus:69.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.335_W-8-singleplex
6076	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Rotifera	Eurotatoria	Ploima	Synchaetidae		superkingdom:Eukaryota:100.00000000000003;phylum:Rotifera:100.00000000000003;class:Eurotatoria:100.00000000000003;order:Ploima:100.00000000000003;family:Synchaetidae:100.00000000000003;genus:Synchaeta:77.77777777777779;species:Synchaeta_hutchingsi:77.77777777777779	Synchaetidae	urn:lsid:marinespecies.org:taxname:134924	family	asv.334_W-8-singleplex
5552	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Amphibia:100.0;order:Anura:100.0;family:Hylidae:100.0;genus:Hyla:100.0;species:Hyla_cf._savignyi_MS-2008:100.0	Hyla	urn:lsid:marinespecies.org:taxname:1480282	genus	asv.336_W-8-singleplex
