organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
288300	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.159_W-8-multi-tot
272372	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000013;phylum:Chordata:100.00000000000013;class:Actinopteri:100.00000000000013;order:Pleuronectiformes:99.8862102795522;family:Pleuronectidae:99.8862102795522;genus:Platichthys:30.192804837364825;species:Platichthys_stellatus:30.192804837364825	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.1_W-8-multi-tot
148903	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Actinopteri:99.99999999999999;order:Gobiiformes:99.99999999999999;family:Gobiidae:99.99999999999999;genus:Pomatoschistus:99.99999999999999;species:Pomatoschistus_knerii:73.19999999999999	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.2_W-8-multi-tot
140589	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Mammalia:100.00000000000001;order:Primates:100.00000000000001;family:Hominidae:100.00000000000001;genus:Homo:100.00000000000001;species:Homo_sapiens:100.00000000000001	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.3_W-8-multi-tot
124221	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.160_W-8-multi-tot
122291	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.161_W-8-multi-tot
99022	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Actinopteri:99.99999999999999;order:Gobiiformes:99.99999999999999;family:Gobiidae:99.99999999999999;genus:Pomatoschistus:99.99999999999999;species:Pomatoschistus_minutus:67.41666666666666	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.4_W-8-multi-tot
69006	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000023;phylum:Chordata:100.00000000000023;class:Actinopteri:100.00000000000023;order:Pleuronectiformes:99.9351851851854;family:Pleuronectidae:99.9351851851854;genus:Pleuronectes:59.230487831192924;species:Pleuronectes_quadrituberculatus:59.230487831192924	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.5_W-8-multi-tot
63587	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gadiformes	Gadidae		superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gadiformes:100.0;family:Gadidae:100.0;genus:Merlangius:54.46309523809519;species:Merlangius_merlangus:54.46309523809519	Gadidae	urn:lsid:marinespecies.org:taxname:125469	family	asv.6_W-8-multi-tot
63316	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000013;phylum:Chordata:100.00000000000013;class:Actinopteri:100.00000000000013;order:Pleuronectiformes:99.8862102795522;family:Pleuronectidae:99.8862102795522;genus:Platichthys:30.192804837364825;species:Platichthys_stellatus:30.192804837364825	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.1_W-8-singleplex
49229	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.162_W-8-multi-tot
37873	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Aves:100.00000000000001;order:Charadriiformes:100.00000000000001;family:Laridae:100.00000000000001;genus:Larus:96.14285714285717;species:Larus_glaucoides:90.4761904761905	Larus glaucoides	urn:lsid:marinespecies.org:taxname:137144	species	asv.7_W-8-multi-tot
35579	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Haematopus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Aves:99.99999999999999;order:Charadriiformes:99.99999999999999;family:Haematopodidae:99.99999999999999;genus:Haematopus:99.99999999999999;species:Haematopus_ostralegus:99.99999999999999	Haematopus ostralegus	urn:lsid:marinespecies.org:taxname:147436	species	asv.9_W-8-multi-tot
32434	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Actinopteri:99.99999999999999;order:Gobiiformes:99.99999999999999;family:Gobiidae:99.99999999999999;genus:Pomatoschistus:99.99999999999999;species:Pomatoschistus_knerii:73.19999999999999	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.2_W-8-singleplex
29435	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000023;phylum:Chordata:100.00000000000023;class:Actinopteri:100.00000000000023;order:Pleuronectiformes:99.9351851851854;family:Pleuronectidae:99.9351851851854;genus:Pleuronectes:59.230487831192924;species:Pleuronectes_quadrituberculatus:59.230487831192924	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.5_W-8-singleplex
26702	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:99.99999999999991;phylum:Chordata:99.99999999999991;class:Actinopteri:99.99999999999991;order:Pleuronectiformes:99.99999999999991;family:Pleuronectidae:99.99999999999991;genus:Platichthys:32.993526398442455;species:Platichthys_stellatus:32.993526398442455	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.11_W-8-multi-tot
23857	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Salmoniformes	Salmonidae	Oncorhynchus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Salmoniformes:100.0;family:Salmonidae:100.0;genus:Oncorhynchus:96.41603453658524;species:Oncorhynchus_mykiss:53.434213936613745	Oncorhynchus	urn:lsid:marinespecies.org:taxname:126140	genus	asv.13_W-8-multi-tot
